,ID, Media,Link,food type
44,1053381047486943233,guy: don t put all your eggs in one basket waitress  checking the menu: uh I don t know how to tell you this https://t.co/E3on9Y9yCs,http://pbs.twimg.com/media/Dp5cb08W4AE_Egr.jpg,Egg
80,1047505204298633222,on Wednesdays we wear pink https://t.co/WoMbBUJQ8j,http://pbs.twimg.com/media/Dol8awgW4AApxzv.jpg,Meat
130,1039958631565934592,apple always knows eggsactly what features we want https://t.co/PKBbkv9Xi3,http://pbs.twimg.com/media/Dm6sw7dWwAcPlIt.jpg,Seafood
182,1022181804328058881,ladies and gentlemen  we are floating in space https://t.co/UweY6te6K0,http://pbs.twimg.com/tweet_video_thumb/Di-EyYTXgAA23LC.jpg,Fried food
197,1020008638105247745,bananas walked so Nannerpuss could run https://t.co/ipoZaE2voC,http://pbs.twimg.com/media/DifMVhZW4AAdkMw.jpg,Meat
205,1017434851635548160,Tier 47   Pickle Axe   season 5 is wild https://t.co/BugobqiWHB,http://pbs.twimg.com/media/Dh6nTXKWkAE2w6C.jpg,Dessert
207,1016767731939659777,https://t.co/7s1haEAvWL,http://pbs.twimg.com/media/DhxI2jBXUAEmSEC.jpg,Vegetable/Fruit
210,1015490605433016320,https://t.co/MQ9YNVXgKm,http://pbs.twimg.com/media/DhcueMjUYAAt6s4.jpg,Meat
232,1004072295013470208,Unpopular onion: involuntary crying edition https://t.co/Gt42wR6kDC,http://pbs.twimg.com/media/De8uOU3XcAICBSv.jpg,Seafood
257,991427243837677568,no  this is Denny s https://t.co/CjmV1DIWbv,http://pbs.twimg.com/media/DcJB0ocW4AMxGf-.jpg,Vegetable/Fruit
258,990996691967979520,https://t.co/txovMDysrl,http://pbs.twimg.com/media/DcC6M7LWsAMTWqN.jpg,Vegetable/Fruit
263,989147090218639360,https://t.co/S3TbAcwd8I,http://pbs.twimg.com/media/Dbon-HwW0AAu1mw.jpg,Bread
266,987425672225107968,we packed a bowl with fresh greens https://t.co/sYHGawHdTv,http://pbs.twimg.com/media/DbO7ZKUW0AAZILy.jpg,Egg
276,984143971789299713,if you serve them  they will come https://t.co/rhTHw5ZIgv,http://pbs.twimg.com/media/DahhhqJX4AA8TZQ.jpg,Egg
282,981908396302532608,if you                   then you don't love           don't deserve me at my            me at my https://t.co/71zWMeqNiE,http://pbs.twimg.com/media/DaBvde2XcAEo0wx.jpg,Rice
288,979067462237990912,handle this bracket with care https://t.co/IBjR0GQbI8,http://pbs.twimg.com/media/DZZYpppWAAASupG.jpg,Fried food
307,971500333724823555,where we dropping boys? https://t.co/OJ7GoOyWc8,http://pbs.twimg.com/media/DXt2WhgX4AYLEHw.jpg,Rice
329,962037795853406208,#ValentinesDayChallenge https://t.co/k3uLw7ZFKk,http://pbs.twimg.com/media/DVnXaBiVQAAo_V8.jpg,Vegetable/Fruit
339,958426594380480512,https://t.co/QaDaF0RVCM,http://pbs.twimg.com/media/DU0DrOjWkAYxLWp.jpg,Dairy product
342,956952318481784837,delicious fun for the whole family! or just one person! https://t.co/vAcnikLh0w,http://pbs.twimg.com/media/DUfHCUYVQAAUBFx.jpg,Soup
345,955832775738871808,when you re ordering for your fish boyfriend https://t.co/VEoA5bAGMe,http://pbs.twimg.com/media/DUPMxEaX4AAuSOc.jpg,Rice
351,953394286212640770,Let's give it up for Denny's on Demand! Enjoy this magical  melodious moment. https://t.co/CsQM5cyhGo https://t.co/14wT7KAvff,http://pbs.twimg.com/media/DTsIoEUXUAYkQX7.jpg,Egg
359,949372454849466368,https://t.co/jCN3kHL5Tk,http://pbs.twimg.com/media/DSzZFZYW0AESrWn.jpg,Vegetable/Fruit
362,948300351366627329,california what s up https://t.co/HRXnhXhZIb,http://pbs.twimg.com/media/DSkJ9eeW4AAA4Bd.jpg,Dairy product
380,912731467083546624,this pancake is not ripe enough to eat yet https://t.co/V1Sgsugafr,http://pbs.twimg.com/media/DKqr1R_UMAAZ2hf.jpg,Fried food
388,909885307163758592,you've heard of elf on a shelf now get ready for https://t.co/NLYRvUw90n,http://pbs.twimg.com/media/DKCPZ3_WsAANbq_.jpg,Fried food
393,908062943211917312,i m just a sausage... i can t help the way i look https://t.co/AhJsYgzjYM,http://pbs.twimg.com/media/DJoWYZqWAAEv8m0.jpg,Noodles/Pasta
394,907696598939037697,https://t.co/dgXbFRzpIH,http://pbs.twimg.com/media/DJjJNlAWAAID9yH.jpg,Dessert
401,903055219361280004,noise levels https://t.co/Ewjsso2mKf,http://pbs.twimg.com/tweet_video_thumb/DIhL5vzUEAATME3.jpg,Soup
412,898721923055669248,moon crater or mooncake crater? the moon may never know but you can on 8.21.17 https://t.co/WoPGpygQ5X,http://pbs.twimg.com/media/DHjm0kFV0AA9vAr.jpg,Dessert
415,897902014063153154,bet you can t tell which one s a celestial body &amp; which one is a breakfast... try them yourself on 8.21.17 https://t.co/aqNTMnrIfG,http://pbs.twimg.com/media/DHX9GQHXUAQ6Z06.jpg,Egg
417,896399311508041728,open for a sweet surprise   https://t.co/enUVx4ZyTb,http://pbs.twimg.com/media/DHCmay4UwAANjAi.jpg,Fried food
425,893175727180402696,Her: he s probably thinking about other girls  Him: i am egg https://t.co/mJJE6TxFeK,http://pbs.twimg.com/media/DGUyTJ-UAAAXvES.jpg,Soup
427,892098314992328706,#mondaymotivation https://t.co/fBvIeedtFm,http://pbs.twimg.com/media/DGFepayWsAIi6e1.jpg,Noodles/Pasta
