,img_names,rand_cats,nn_tweet
0,Arbys-i1001493372534738947.jpg,soup,KITKAT Ruby Cupcakes are not out of your reach. Follow these steps and bake it happen! #unexpectedbreak https://t.co/BKfE3Q4wUw
1,Arbys-i1003660477011058688.jpg,bread,Guess the #WCSportsPun: Basketball Edition https://t.co/rWlmxVyTtb
2,Arbys-i1003683851770716160.jpg,noodles/pasta,http://t.co/Cjm74YfysQ
3,Arbys-i1006017852367949825.jpg,fruit,.@parksandrecnbc Congrats on your 100th episode! Swing by and #TreatYoSelf #ParksTurns100 http://t.co/RRvTqkbOhF
4,Arbys-i1006265053560102912.jpg,vegetable,RT if beauty.  ( : Insta #BoldCraver  foodwithmichel) https://t.co/hJM67lgOJZ
5,Arbys-i1006310206400356352.jpg,dessert,https://t.co/dgXbFRzpIH
6,Arbys-i1006536763941314560.jpg,dairy-product,Do you know your mo? https://t.co/3ITTJG2h6A
7,Arbys-i1006544191470567425.jpg,rice,That guy doesn't look fifteen! RT@StephBauerTV Walter White's last breakfast at Denny's.....in this exact seat http://t.co/73wmq4xuw4
8,Arbys-i1006891839914479617.jpg,egg,pls help this important fundraiser thank you http://t.co/h5YI4Qg5uZ
9,Arbys-i1007653965138280448.jpg,vegetable,chill vibe in this room #collegeslam http://t.co/99c292WgyJ
10,Arbys-i1008741128667983872.jpg,bread,CHEESY TOTS make any perfect day perfect-er. Perfect-est? https://t.co/N5cn7Tc07w
11,Arbys-i1009073319918915585.jpg,dairy-product,Bad at poetry? So are we. Maybe our cheat sheet can help. https://t.co/g6vWTVheQx
12,Arbys-i1009947046919528449.jpg,noodles/pasta,@MGolicJR57 You know where we stand... https://t.co/x81Dx5IhSh
13,Arbys-i1010210933824729088.jpg,fried-food,how to draw a thanksgiving pancake https://t.co/8Rpes6rDdY
14,Arbys-i1011301279493246986.jpg,rice,Welcome to the BK Scholars family  Julia Bassier! https://t.co/etgKwmxM83
15,Arbys-i1012731982500061184.jpg,egg,In case you ve always wondered  this is  FRIES  in Wingdings. #TBT https://t.co/rQqAwNWvRR
16,Arbys-i1015269423605735424.jpg,fruit,hey @alyankovic  we love you and we love parodies. so we parodied you with breakfast food. hope you like it. http://t.co/Xqu4eQAlpZ
17,Arbys-i1015368698914193409.jpg,fruit,bananas walked so Nannerpuss could run https://t.co/ipoZaE2voC
18,Arbys-i1016336175068532736.jpg,soup,"Red Lobster at  ! Get 15% off your Online To-Go orders all day by using code ""TUESDAY"" on #TakeoutTuesday! https://t.co/nLevTOTVDl"
19,Arbys-i1017102879054757889.jpg,meat,Hey  Crunchwrap lover. It s time to try the $5 Triple Double Crunchwrap Box. https://t.co/oixm8QQ4iH
20,Arbys-i1017805366766260226.jpg,dairy-product,got the new tBone6s !!!!! http://t.co/gYtvQO6Wkd
21,Arbys-i1018872888039002113.jpg,seafood,Congratulations Lauren Gottschalk! Welcome to the BK Scholars fam. https://t.co/DPrt98ZRap
22,Arbys-i1019235280375537666.jpg,rice,introducing denny's toothpick.   your teeth  performing at full potential. http://t.co/a8uxWmAwXF
23,Arbys-i1019960060015980544.jpg,fruit,It s tough to top an original  but we did it anyway. The new $5 Double Cheesy Gordita Crunch Box is here. https://t.co/chREDhoeEW
24,Arbys-i1021416078688342016.jpg,vegetable,https://t.co/txovMDysrl
25,Arbys-i1022501805765414913.jpg,meat,Crisis  Make Up! https://t.co/5cTTKVvPgi
26,Arbys-i1022871051020259331.jpg,fruit,Tangy  smoky goodness  that sounds S Awesome. Get your hands on the S Awesome Bacon Classic and a Dr Pepper. https://t.co/M7aV4TmAkY
27,Arbys-i1022904457086943239.jpg,fruit,no  this is Denny s https://t.co/CjmV1DIWbv
28,Arbys-i1024308710229700608.jpg,rice,Menu Hack - Biscuit Taco   #TacoTuesday https://t.co/gmniDIRz73
29,Arbys-i1024716393911119873.jpg,rice,You can't settle a society without precious  precious commodities. http://t.co/EdAXW4yBZQ
30,Arbys-i1025545632994324480.jpg,meat,Hey  Crunchwrap lover. It s time to try the $5 Triple Double Crunchwrap Box. https://t.co/oixm8QQ4iH
31,Arbys-i1025621738825035776.jpg,vegetable,@ryansatin Since you said the magic word #MakeMySandwich https://t.co/vdgOGM19I0
32,Arbys-i1025829278926004225.jpg,dessert,Sit boy! https://t.co/rwUIkYZ9bF
33,Arbys-i1025831357186957312.jpg,vegetable,Who do you call when you want some pepperoni? https://t.co/mHkmtquErg
34,Arbys-i1027570196679217157.jpg,fruit,Adorable marshmallow sheep cupcake with KITKAT legs! Who would you share this heartbreaker with?! #mybreak https://t.co/Lv0qphFqKn
35,Arbys-i1027932592463638529.jpg,soup,"Stay in the know. Text ""DEALS"" to 67766 to get #FreshAlerts! https://t.co/5EfN9ApQSi"
36,Arbys-i1030106915941085184.jpg,noodles/pasta,Leave the cooking to us. Grab a few #TacoPartyPacks for your Friendsgiving festivities. https://t.co/o0ePn2YqJs
37,Arbys-i1031579709270835200.jpg,egg,.@Seinfeld2000 imagen seinfeld still on air today but in grand slam form http://t.co/pREuLVblp5
38,Arbys-i1034093186304618497.jpg,bread,Happy Birthday  Mac! Here's your free Grand Slam. http://t.co/4CAzSODwpH
39,Arbys-i1034881795286880258.jpg,rice,would rather watch this tbh http://t.co/Hl47g5L67f
40,Arbys-i1035180430549557248.jpg,bread,Jam with the Slams and get that singing food holiday-themed video knocked off your list. https://t.co/7qV3OaC72j https://t.co/2s1Yp3HMlR
41,Arbys-i1039199938650009600.jpg,egg,ok but how many awards will this tasty hit win? http://t.co/mRXFtb3dfE
42,Arbys-i1042099429287911424.jpg,fruit,This is the only (nonexistent) nominee we reallllyyyy care about in our hearts. #Oscars http://t.co/MOvFNbRHRe
43,Arbys-i1042103130543075328.jpg,bread,On this Valentine's Day  instead of sharing your selfies  why not share a KitKat? Have a break  have a KitKat    https://t.co/z4VV2YgGqk
44,Arbys-i1042118992914259968.jpg,soup,Join us in wishing @Beyonce a #lobsterworthy #BeyDay! Hope to see you soon  Bey.   https://t.co/sSiwnm8uks
45,Arbys-i1042208186672074752.jpg,bread,Sometimes your eyes are bigger than your stomach. Much  much bigger. [photo via tumblr user liamefr13] http://t.co/sUTf3yKVk0
46,Arbys-i1042434146642087936.jpg,soup,Want to go to the BET Experience Sweepstakes? #MyCommunityPromo   http://t.co/H9QxmMSMTX http://t.co/WccWekyrq4
47,Arbys-i1042460331824611328.jpg,vegetable,beware the milkshark  *jaws theme swimming* http://t.co/FLzzKiSjsP
48,Arbys-i1042480296921325568.jpg,bread,Did you hear about the talking whale in the news? These guys did. https://t.co/OMoorqnfDG
49,Arbys-i1042506210338070529.jpg,dairy-product,This Halloween  an unusual break is coming your way. Stay tuned. https://t.co/bsNjhS5lcL
50,Arbys-i1042591820591587330.jpg,dairy-product,Fall just arrived early. Try the new #CaramelAppleFreeze today. https://t.co/MS0rgGCw6u
51,Arbys-i1042817850858262533.jpg,seafood,You may have to do a little digging but I assure you  we're open. http://t.co/JZ3cwWhphR
52,Arbys-i1042840699752914944.jpg,fruit,Share your food pics with #ShareMySlam on Twitter or Instagram  and Denny s will donate $1 to @NoKidHungry. https://t.co/eOvu8PDxoU
53,Arbys-i1042855237562892290.jpg,fried-food,eggs r cool https://t.co/savwYB42M0
54,Arbys-i1042948469726633984.jpg,dairy-product,Every time a microwave dings a slider gets its wings! #WhiteCastleMovieHomage #HolidayEdition (1/8) https://t.co/3G4hGBtiM8
55,Arbys-i1042949089476988929.jpg,noodles/pasta,We could do this all night. #TeamUSA #OpeningCeremony #CantMissMoments https://t.co/FpNbOVMRNj
56,Arbys-i1044609433169522688.jpg,bread,Crab melt for lunch? Let's do it.   #ShrimpTrios https://t.co/UCat00tfnw
57,Arbys-i1044662828798365696.jpg,soup,The 2 for $6 Whopper Deal. Flame-grilled and waiting for you. #Repost https://t.co/hk635Mi5mX
58,Arbys-i1044964816178302976.jpg,seafood,break out the ice cream http://t.co/mtkEogLLq6
59,Arbys-i1044995168414429184.jpg,vegetable,Rogue Bun: A Slider Story #MayThe4thBeWithYou https://t.co/tkwaZrWHdm
60,Arbys-i1045023385724628992.jpg,fruit,Your new summer fling. #WatermelonFreeze   https://t.co/To2wLj5UyU
61,Arbys-i1045383854863863809.jpg,meat,This OREO cookie goes out to the 7 355 965 #MickeyMouse fans who still remember that 60 s intro song. https://t.co/YwguwWQyZK
62,Arbys-i1047139139844542466.jpg,fried-food,Would you watch our version of @girlsHBO? It's farm fresh. http://t.co/MmFQ4xOFvG
63,Arbys-i1049675870204452866.jpg,egg,This is Todd.  Todd is here to dress up as your family &amp; help you practice breaking the news https://t.co/ZasU0T5dBU https://t.co/IBjxBHs5Er
64,Arbys-i1051850194025766912.jpg,meat,A virtual reality break with a twist! #mybreak https://t.co/HwVyn1YRCt
65,Arbys-i1053329934192664578.jpg,egg,Hope this makes it across the table https://t.co/XX6jAUbthM
66,Arbys-i1055795962621374467.jpg,dairy-product,Here s to a whole new year of breaks! #HappyNewYear   #mybreak https://t.co/tmX4rhZhGK
67,Arbys-i1055836448484659202.jpg,vegetable,Beware  the craves of March. #SnobbyShakespeareReference https://t.co/M4PQPky1Ae
68,Arbys-i1057053651712311296.jpg,bread,Feel the turn. https://t.co/E90VjmnmyY
69,Arbys-i1057648398537498626.jpg,meat,That feeling when you surprise @BottomShelfVids on Twitch...  Where should we go next?   https://t.co/bC3iJr7ate
70,Arbys-i1058044649053585408.jpg,vegetable,Let's Red  White  and Blue Slam our way into the next round! GO AMERICA! http://t.co/kctrr4jbD6
71,Arbys-i1058735553326137344.jpg,seafood,Celebrate National Biscuit Day by telling us your Cheddar Bay Biscuit name! https://t.co/mjAa9awXQV
72,Arbys-i1059475431227879428.jpg,noodles/pasta,The sweetest #CantMissMoments are even better when shared. https://t.co/C2MMHDd54O
73,Arbys-i1060562590357700609.jpg,fruit,happy birthday to the mayor of the sunset strip  Rodney Bingenheimer! long live denny's fam. cc: @kroq http://t.co/B1I7IgcijT
74,Arbys-i1062782215786979328.jpg,egg,Hope this makes it across the table https://t.co/XX6jAUbthM
75,Arbys-i863725612912988165.jpg,rice,Somewhere beyond the sea... https://t.co/hVwzEdI1qR
76,Arbys-i865597950461792256.jpg,rice,Welcome to the BK Scholars family  Julia Bassier! https://t.co/etgKwmxM83
77,Arbys-i865643242410303488.jpg,meat,Lobster and Shrimp Summerfest ends today! Get a taste of those summer flavors one more time.   : @FoodieJudge https://t.co/spPAdlcFwc
78,Arbys-i865960315636383745.jpg,fruit,Crab Linguini Alfredo   Alfredo Linguini Crab   https://t.co/pcI4I8bJ3b
79,Arbys-i866457332305342464.jpg,soup,If you're gonna catch a flick in Irontown  do as the humans do https://t.co/z1Yv90MVtp
80,Arbys-i867440180986343438.jpg,vegetable,"When ""classic"" is your thing! #EndlessShrimp https://t.co/NlZOS648pQ"
81,Arbys-i868497034524860417.jpg,noodles/pasta,https://t.co/49tOZXTSAv
