ID, Media, Link
1062809160838979591,@Atizyo Meat Sweats must be earned.,
1062808257008463873,@TrishCausey Always great to see you  Trish.,
1062800247620018182,@SamBearIt @MatthewBerryTMR Arby's - The Standard is the Standard,
1062782215786979328,We're feelin' the spirit of '76 https://t.co/YQqsnDJ2mQ,http://pbs.twimg.com/media/Dr-NIFBXQAEHpXW.jpg
1062772551322091520,@BrentPirolli Whoa!,
1062377624952098817,@MarkArum can you send us a DM with your mailing address? We would like to send you a special package.,
1061981493269053440,@ReneeYoungWWE We had fun making your sandwich portrait a few weeks back. We'd like to follow up with a little gift  https://t.co/E2BzpOGpNg,
1061974505168482304,@timhager83 You're welcome.,
1061974426151993344,@arneciaaaa Like it?,
1060978070994214913,@TBM929 Can you send us a DM we would like to send you a special package.,
1060599217679413248,@HowlandMiddle Keep up the great work!,
1060562590357700609,Why maintaining proper intervals is so important https://t.co/pGWsHf8S5d,http://pbs.twimg.com/tweet_video_thumb/DrfbyZdXQAAlUgo.jpg
1060245505035264001,Join @StackUpDotOrg's Veterans Day livestream this Friday  11/9 from 12p-9p PST to find out how you can win an Arby  https://t.co/NcS1it4WYz,
1060193275255156738,@genuinecandor Thanks for visiting us.,
1059979177569476608,@snutailgater  ,
1059506911991750657,@frostmourned Thanks for making us part of your trip  Kate.,
1059505572255580164,@crystalynnbearr You know where to find us.,
1059475431227879428,Having trouble growing out that 'stache? Use our handy guide and make this a Movember to remember. https://t.co/cs71VOeB81,http://pbs.twimg.com/media/DrPtCjbXcAETtYg.jpg
1059475118227968000,@snapchattington @m00seontheloose We Have The Meats.,
1059472344102658049,@Bluegem81 Great choice!,
1059471976480337921,@brianfagioli Thank you.,
1058802261542006785,@SimpleMagnus  ,
1058802150480994304,@julion_polk Yes.,
1058801891256254464,@TrystenAsher With Arby s or Horsey Sauce?,
1058801793633804289,@kuaneofwv Do it.,
1058801374710915073,@Cheritech  ,
1058801306155053056,@th4tsn0tmynam3 Thank you.,
1058766324590088192,@jetthejudge Good choice.,
1058766182927478784,@DateJeff The fish sandwich will be back soon.,
1058735553326137344,Which sandwich should YOU buy to celebrate #NationalSandwichDay? https://t.co/TGCTLnNK1D,http://pbs.twimg.com/tweet_video_thumb/DrFUZqdXgAIFEgM.jpg
1058421432965836800,@candjparker Kindness goes a long way.,
1058363295462252545,@brequist  ,
1058351465901756416,@CoachSnider11 Happy Birthday Hudson!,
1058044649053585408,@JalenandJacoby Far be it from us to deny the people what they want. #MakeMySandwich https://t.co/n663vx6CzM,http://pbs.twimg.com/media/Dq7t_2cX0AEe1nX.jpg
1057648398537498626,The revolution needs help. Send fries. #LiftTogether https://t.co/eg6WPF4YWJ,http://pbs.twimg.com/media/Dq12W_yW4AEck93.jpg
1057375099135901698,@alx_lopez5 Looking good.,
1057374451732570112,@DontCynn_  ,
1057053651712311296,Picking a perfect 20 is hard  but some of these definitely hit our sweet spot. #PlayStationClassic https://t.co/OPZ2SpqTL9,http://pbs.twimg.com/media/DqtosM7XcAAn2ER.jpg
1056977374586265607,@JCDubs007 Send us a DM &amp; we will see what we can do.,
1056976462207696897,@KiraC91 We hope you had a great first visit.,
1056975537019740162,@BoxOfNox Indeed.,
1056972835153960961,@KevinMLindsay Thanks  Kevin!,
1056962008707407874,@logans1009 Anything for you  Logan.,
1055892280941404160,@SkylarGrayJedi Thanks for visiting us...see you again this weekend.,
1055836448484659202,You can become a hero! https://t.co/PefABkcWI5,http://pbs.twimg.com/media/DqR8VvXWkAAlOlX.jpg
1055795962621374467,@MGolicJR57 You know where we stand... https://t.co/x81Dx5IhSh,http://pbs.twimg.com/media/DqbwdOXX4AMs0ok.jpg
1055519104495505409,@DeliaWrx You're making us blush.,
1055518113159098374,@piannemal Now that he's conquered the Meat Mountain  we want to make sure he gets the #MeatSweats. DM us your mail  https://t.co/Hhj81FQ3fS,
1055192227646005248,@Seannery25 With a name like that  she'll go far.,
1055134566208421888,@Bol_Tron Send us a DM with your mailing address &amp; we will see what we can do.,
1055134375258546176,@RPheonix DM us your mailing address. We would like to send you a special package.,
1055115840616624131,@Charlz We can make that happen. DM us your mailing address &amp; we will see what we can do. #MeatSweats,
1055115430199783424,@Randum_Syko Now that you've conquered the Meat Mountain  we want to make sure you get the #MeatSweats. DM us your  https://t.co/ik9H5Zxa5d,
1055115269293662208,@NolanStalbaum A true fan like yourself deserves some #MeatSweats. DM us your mailing address so we can reward your successful climb.,
1055114728933130240,@billy2long Now that you've conquered the Meat Mountain  we want to make sure you get the #MeatSweats. DM us your m  https://t.co/dFKyNHlC8L,
