ID, Media, Link
1062815490995822604,@AndreaMiller21 the best  ,
1062803554199576577,@Sonarfied667 oh,
1062801364936466434,@fluffyguy guess the midterm elections aren't over,
1062787313653161984,@softmoonkid  ,
1062787037668040704,@501119M why thank you Max,
1062783764244377602,@PopTartsUS when they tweet do you think it s technically called a hoot,
1062783252866494466,@PopTartsUS  ,
1062751309747642368,@budweiserusa i think we just did,
1062749630956486657,@LazerzZHD we good  ,
1062749393751867392,@CooprDuper @Living_Bee @BOFCookie @dj32304 @Twitter,
1062748531117694976,@LazerzZHD you dropped this: @,
1062748095308554240,@budweiserusa aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaAAAA,
1062746350490664963,@YVNGNlCK  ,
1062746121850798080,@budweiserusa AAAAAAAAAAAAAAAA,
1062736213357006849,@CyberGurkha @GamingSl1me  |  |  |  |  |  |  |  |  |  |  |    |  ) more afraid of the hamburglar  |     |,
1062731866808242176,@mylothethinker yeet,
1062731393590026240,@Animelover3322 @ kate,
1062725542636609537,@ndre_simone thank u*  next,
1062718381680455680,@RathelBen right?,
1062714514586656768,@dj32304 no  this is Patrick,
1062713126016221185,@Gilition https://t.co/xJOXJnVYmG,
1062712575446671361,cashier: thank you  enjoy  my brain: don t say it don t say it don t say it don t say it don t say it don t say it  https://t.co/P1oZ59x28r,
1062478566590439426,@FortniteGame do we even have to say it,
1062476308700188672,@KickerTheSecond https://t.co/d3ImRqfrgV,
1062438320188416002,@GamingSl1me  |  |  |  |  |  |  |  |  |  |  |   |  . ) why are we whispering  |   |,
1062431500417880064,@BravuraReal what's your venmo,
1062430125931814914,==(____________________________)==      |   our throne will still be ours   |                              |  https://t.co/QOjO18Yzkp,
1062416586018054144,@Pluckers @Whataburger @torchystacos @steak_umm @sunnydelight @CheckersRallys @Potbelly @MoonPie @ChexMix @Wendys  https://t.co/sX8XOtlDOz,
1062415951193391104,@PresidentPerine @VOAoregon @SouthwestAir @ChoiceHotels happy #WorldKindnessDay  bud! you make us proud.,
1061780199883321345,@hartfordwatkins @CraigSJ *corporatized*,
1061779803840360448,@CraigSJ duh,
1061011336199655425,@saltyramen1 golden brown,
1061005756928008193,@patsfan1625 nice to see the FBI agent is doing their job,
1061005266328739840,@patsfan1625 hi joey,
1060968460077932544,@zuleycasvb not wrong but gotta sneak the branding in there though  ,
1060967765794873344,@Meow_Mads  ,
1060967494754729991,@lucianavarro9 big mood,
1060961949704445952,{\ /} (   .  ) / &gt;  u want this?   {\ /} (   -  )  &lt; \ JOEY DOESN T SHARE FOOD,
1060569384295383040,@HatedSarcasm common courtesy isn't as common these days unfortunately.,
1060562642950070272,@uhlexissp  ,
1060555850388041728,roses are red a little humanity goes far https://t.co/U3KEHRjsCt,
1060549938080350208,@thuggie666 has calling someone a hoe ever gotten you what you want,
1060548613858910208,@xoxoHeds cried until we were dehydrated,
1060306359642718208,@DannyGannon like the movie?,
1060305604764426240,thank u  next in line https://t.co/PswpfeHJRN,
1060284535529713664,@PestanaAdrian @DoorDash hello it s me,
1060270682951565312,@TuckSargent &amp; when you order pizza you never say  pizza with cheese on it",
1060268546033377280,@vivaricardo odds,
1060266035784376320,@torihowrd  ,
1060254211294801920,@clonewebbing @OfWebbedWings agreed.,
1060228707892248577,@LKBOfficial no one cared who I was till I put on the mask,
1060227204834082818,@queenmedusa69 FINALLY,
1059855134728093696,@chensvng it s working  ,
1059468915552804864,@senesant  ,
1059208937776574464,eyes still closed I guess https://t.co/Z8pzojmDgb,
1059091533096538113,@piersmorgan  ,
1058389831108182017,@OkSteev https://t.co/OVzi14uQbm !!,
1058388540101459971,@OkSteev narc,
1058388174190403587,@ColeWoody88 respect,
1058387841066168321,@ColeWoody88 this lad is mad,
1058342211220332545,@TANZVERBOTcf what is love,
1058312871531155457,@dannyee5 @MaddieRai22 ugh goals,
1058111006633795585,@oyoongio https://t.co/RQNf8PWttF,http://pbs.twimg.com/tweet_video_thumb/Dq8qVZ4U8AAHnFS.jpg
1058110279144366083,@oyoongio so you follow us then,
1058105719533289472,@redhairgguk @oyoongio  ,
1058102768941129729,@DeanMarrYT really though  y everyone ded?,
1058100005817511937,@MyDearJournal settle for nothing less,
1058099715366182914,@DeanMarrYT smashing,
1058099394602504192,find yourself someone who talks about what they re having for dinner while they re still eating lunch,
1058098640391147520,@jillyg123 no fibs,
1058094667059945472,@FreedomNews411 how did we forget,
1058094044184829952,@GNU_Order @deliciousbees dan you weren t supposed to tell them,
1058091733886660610,@2256x we don t roast  we flame-grill,
1058090508139053056,@JWag12787 you said it,
1058090425267953664,@_Kevin_33 hey kevin,
1058090270904983557,@UltimusHowl *sigh* sure,
1058090085588127744,@TheRetroVGDude quick maths,
1058089548205490176,treat yo self   https://t.co/c6pz8DWUKG,
1058010780157636608,don't drive hungry. leave it to the experts and get it delivered through @DoorDash. order today with $0 delivery fe  https://t.co/A6CqoQt4Yt,
1058005292284342272,@PJD241 ask again in december,
1058005192107548673,@ChernoCunt it s only a month,
1058005111782498305,@cryinginriteaid welcome to King Burger we can do it your way but don t get crazy,
1058003807387504646,@ARodOverrated it s the *brrAT* multiverse  marcus.,
1057998312790466561,him: it's only a month waifu: ........... ,
1057987788505784320,@ShaunMcAfee ma'am  this is a Burger King,
1057744364515065857,@Wendys @twelvegage handsome on the right!,
1057701025564495873,@speeddemon1017 @KennySevey @NBCTimeless @Sony @loss_for_words @CheckersRallys @steak_umm @kiddle @Hostess_Snacks  https://t.co/WcM0CCbg3t,
1057700234158096384,@speeddemon1017 @KennySevey @NBCTimeless @Sony @loss_for_words @CheckersRallys @steak_umm @kiddle @Hostess_Snacks  https://t.co/8DMw8w8sAl,
1057676512617529344,@ATC_Girl @Wendys looks just like our prom photo,
1057647347189116929,@agentb7 that got vetoed real quick at HQ,
1056964698615222273,our code was more broken than celebrity engagements  until @zefie fixed it. now he's got a year s worth of Whopper  https://t.co/HREd7asaCi,
1056957935874703368,@Vinlockz just missing one style bug  ,
1056955559579185154,@Iliopsis sick,
1056953911230324737,@zefie you've ALMOST got it!!!,
1056950808091209729,@YOURKINGSTOOD yep,
1056950019134316550,@alexmrcoollol would mr. bailey be happy if he knew you were trying to cheat,
1056946363110490112,@ScholarSharp it does. eventually.,
1056946088610066433,@murphel she sounds like a great lady,
1056944711951364096,@murphel only quitters quit,
1056943832531718144,@nintenpwnd we gotchu,
1056940780336635905,@Charlie_Puffer1 thx Charlie,
1056940716050526210,@richtercamden clicking "proper whopper" should build a proper whopper  don't give up  believe in yourself,
1056940122548125697,@latefanger try again,
1056939937487036416,@ScholarSharp well you have to solve it too,
1056938883609493504,@BetterWaifuPeri step 1: click the link step 2: fork + solve the code step 3: show us the link or it didn't happen,
1056938008832868352,@PittPenguin44 points for effort,
1056937831392796673,@MillerPennzoil we're not messing around,
1056936961137668096,@PittPenguin44 this ain't it chief,
1056935345395322885,https://t.co/WHEwlqEw0U https://t.co/AfO3F0g9eN,http://pbs.twimg.com/ext_tw_video_thumb/1056935308678385664/pu/img/06F2yw6ZR4s_5s6E.jpg
1056935228449701888,Whopper Code official rules here   https://t.co/pZrzaM7Ggn.,
1055902398387011584,@heteroalexual preach,
1055901966629588995,welcome back cuffing szn   https://t.co/bEpqPHcCMJ,
1055821462064521216,you can ride into the sunset  or you can ride into the nearest flame-grilled establishment. https://t.co/GGm5bNFjmm,http://pbs.twimg.com/media/DqcH6PxWsAMs33b.jpg
1055473209632530433,@Richie59FIFTY 1000 for $100***,
1055457958807642112,@stussy_cee having a mascot whose sole purpose is to steal from their own restaurant is a savage move tbh,
1055440814241931266,good morning let s steal this bread https://t.co/erXLJjpNp4,
1055205710190002177,@pppr_splat ... any takers,
1055181393951637510,@MattVelasquez4  ,
1055122857200680962,@RealMattDecof they re gonna learn today,
1055121454050799616,@McDanglez23 MVP,
1054834235079565312,@Wendys @missferanei @McDonalds @kfc think we just found our Christmas card guys,
1054734751993602048,order your Nuketown Whopper Meal or Nuketown 4-Piece Crispy Chicken Tenders Meal on the @DoorDash app and get a cod  https://t.co/2lOxbewQuQ,
1054374428962897920,@Joey5802 behold: the NIGHTMARE KING  ,
1054374041316929536,@TheRiotActSean if there was ever a time to use that  it was now.,
1054371823218053121,still not as scary as a clown. https://t.co/I8T3gzaxR9,http://pbs.twimg.com/media/DqHhCZLUwAEjrxg.jpg
1054341619930071040,@RevivedStark boo,
1053395477834665984,@Twitter actually changing our handle to BK Lounge would be pretty ok,
1052601218814631937,@budweiserusa @Cannes_Lions @Twitter | |         WHASSAAAAAAAAAAAAAAAAAAAAAAA | |  https://t.co/xRPVhuN918,
1051842675379449856,consider this our meal of champions. minions not included. https://t.co/JiIgIRnfVI,http://pbs.twimg.com/media/DpjlBGDXoAU2Hn5.jpg
1051615955883892736,@cafeswiftie @Charmin 2018 really is something,
1050868849007046661,@chazilllla what a time to be alive,
1050793818927390720,@iamalyxander #100NuggetChallenge,
1050746672551215104,@586God if you don't know now you know,
1050532129824796672,000000,
1050521599030505473,@DarrionDaDon_ @PresidentPerine  ,
1050517936346161153,@BiCursesbye always.,
1050516194103570432,@DarrionDaDon_ darrion  this is awesome. DM us  we want to send you something.,
1050493886513188864,@blithealanna @MoonPie they already know,
1050468469454573569,@HeyThereItsGK 10 mins,
1050461556641853440,@baconlover4299 10 mins,
1050461457064873987,@Mangle525 ladies and gentlemen  we have a contender.,
1050461351557169152,@pinkishaliens yep.,
1050460394140168192,@chaselt17 or 100 for $10,
1050460230025404416,@iNuuub prove us wrong,
1050459784858755072,@riotsquirl bet,
1050434118968840192,@dane_crane1 @Twitter pretty sure these two words are permanently inked on all of our establishments.,
