ID, Media, Link
1062809762260230147,@iAmValDes  ,
1062809606597025797,@dwtxmariah We're so glad to hear that!  ,
1062809288962383872,@RGreen_94 We're glad to hear you're interested in Spicy Nuggets! We tested the Spicy Nuggets in select Chick-fil-A  https://t.co/XLXk4ojxUU,
1062808021120831488,@calvvn We re sorry to hear that  Calvin! Missing your favorite Sauce is never good. Thanks for letting us know  an  https://t.co/luGmWILjeF,
1062807823518699522,@nahee_eieiza Thanks for reaching out! We appreciate your interest in growing Chick-fil-A internationally. At this  https://t.co/E1uoIP4ERL,
1062794629370798080,@Tifficans Thanks for starting your day with us!  ,
1062794427922612224,@Zz_tops330 There are multiple factors we take into consideration when selecting a new Restaurant location. Your fe  https://t.co/4CA0qBM9nh,
1062793942171820033,@ScribnerLindsay We're sorry to hear about this  Lindsay! Please give us a call at 1-866-232-2040 or fill out our o  https://t.co/xmOdjgnaPF,
1062793177181143042,@Beautykillerbel Sauce goals.  ,
1062792160246988800,@WillHertel82  ,
1062792030424887298,@_michaeIa We apologize for your negative experience. Please give us a call at 1-866-232-2040 or fill out our onlin  https://t.co/G4fGGHL5VT,
1062791891371130881,@QCtyler704 Because chicken is a natural product  there is variation in strip size. Some of our Chick-n-Strips migh  https://t.co/NTP1KVJi1V,
1062791650890661889,@Bri_LaShae21 We're sorry to hear about your experience  Bri. Please give us a call at 1-866-232-2040 or fill out o  https://t.co/cJwgw5UpQY,
1062791419587366912,@insta_trixx We appreciate you reaching out. We ll continue to be closed on Sundays.,
1062791023687032832,@Sarah_matter30  ,
1062790773903646721,@Marpxo We re sorry to hear that! Missing your favorite Sauce is never good. Thanks for letting us know  and we hope you try us again soon!,
1062790773358387200,@_THEbosslady Thank you for asking! Our first restaurant is scheduled to open in Toronto in the first half of 2019.  https://t.co/c0ZH9kLZWp,
1062790190429806592,@laurenands1 Thank you for reaching out and allowing us to clarify! Chick-fil-A Card transactions are not available  https://t.co/8FEUQ4O7dJ,
1062780688200593409,@seannkilgoree We're sorry that your meal wasn't complete  Sean. Please give us a call at 1-866-232-2040 or fill ou  https://t.co/H8dQjMfzpU,
1062777688371462154,@cheypreston Yum!  ,
1062777544741675009,@rodcor7es Yum! Sounds like a great order to us!  ,
1062777307348287489,@_loveWins_21 Stop by to see us soon!  ,
1062777044759703555,@Baby_bellitaaa We re sorry to hear that  Bella! We appreciate you taking the time to share this feedback so that w  https://t.co/R6UWNka0ed,
1062776930653618176,@_Arrett We're glad to hear you're a fan of our Grilled Nuggets  Jarrett! We hope to see you again soon!  ,
1062776816845418496,@lizbethtevis627 Thanks for joining us today  Elizabeth!  ,
1062776556072910848,@IamHannibalT We   hearing that you want us to be your neighbor! We take a lot of factors into consideration befor  https://t.co/LxuZJl9mSN,
1062776175666315264,@heyimphilippe We're sorry that your meal wasn't correct. Please give us a call at 1-866-232-2040 or fill out our o  https://t.co/MetmBN08W0,
