ID, Media, Link
1062820163093979136,@OldGrump91 Thank you for alerting us. Please send a message here so we can take action and be in touch with you:  https://t.co/aJzmzTpdAY,
1062816649609388032,@BamaBamaShawty This is concerning. We would like to speak with you directly. Please send us a message here: https://t.co/nrhUDiEk7G -Jenn,
1062816456998559756,@bside_oma Solid answer. -Jenn,
1062815999844589570,@katsafreed Priorities.   -Jenn,
1062813431139577857,@tumblelovesyou We d like to speak to you directly. Please contact us here: https://t.co/nrhUDiEk7G. - Ty,
1062805362892513288,@DisgruntledYupy We've been testing one in select markets. Patience. -Jenn,
1062805042040856576,@KayleeManns23 Thank you for alerting us. Please send a message here so we can take action and be in touch with you  https://t.co/1agxwRohww,
1062800624239235073,@jakavinsek Really sorry about that. Please share the details of your order at https://t.co/nrhUDiEk7G so we can follow up. -Jenn,
1062800441430413312,@club_betty This is concerning. We would like to speak with you directly. Please send us a message here: https://t.co/nrhUDiEk7G -Jenn,
1062800392860393474,@lysUHx0 Thanks so much for reaching out. I'll definitely share this shout out with the team. -Jenn,
1062800211800662017,@erock_elaps Speak up and ask for a re-roll if things aren't looking 100% burritoful. -Jenn,
1062800031718219786,@Jr_2197 Sorry about the dressing  but I'm glad we cam through for ya today! -Jenn,
1062798339132002304,@PRwithLaur Bummer. Please give us location details and your contact info at https://t.co/nrhUDiEk7G so we can make things right. -Jenn,
1062797988911894528,@itsheatherdean Our markers are non-toxic  but we should definitely label more carefully. Sorry for tatting up your 'rito. -Jenn,
1062797708937887744,@thelilkrunch Fix this ASAP: https://t.co/6Dc3jiaHLj. -Jenn,
1062797553106857987,@wesleyywatson Don't see why not. -Jenn,
1062796530065772548,@_SuperStoned This is concerning. We would like to speak with you directly. Please send us a message here: https://t.co/nrhUDiEk7G. - Ty,
1062795822029553671,@TiffanyJ___ That's concerning - please let us know more here: https://t.co/nrhUDiEk7G. - Ty,
1062792434617335808,@SoleyWhat Thank you for alerting us. Please send a message here so we can take action and be in touch with you:  https://t.co/LKvIDMlFH7,
1062792349741391874,@Nikki305DotCom This is concerning. We would like to speak with you directly. Please send us a message here: https://t.co/nrhUDiEk7G -Jenn,
1062791341141344256,@taylormuellermn Yup. We're testing one out in select cities now. -Jenn,
1062791254663143431,@bienrad This is concerning. We would like to speak with you directly. Please send us a message here: https://t.co/nrhUDiEk7G -Jenn,
1062790468948373504,@AdeebValiulla Thank you for alerting us. Please send a message here so we can take action and be in touch with you  https://t.co/BHZxRpwRAx,
1062790266522886144,@bfinleyui Thank you foyr alerting us. Please send a message here so we can take action and be in touch with you:  https://t.co/trMLYLNffR,
1062790189410586630,@shappy21 This is concerning. We would like to speak with you directly. Please send us a message here: https://t.co/nrhUDiEk7G -Jenn,
1062790071722655744,@Monelleeee_ Gosh  really sorry about that. Please give us location details and your contact info at  https://t.co/ZGxJfgeF2K,
1062790014919045120,Face mask                      Chicken bowl                                                  self care,
1062789683854405632,@bbudach1 So  see you in five? -Jenn,
1062788725476716544,@TheAlphaSalt ... There should be? Please give us location details and your contact info at https://t.co/nrhUDimIJ6  https://t.co/yZRtYIxqai,
1062788451244871691,@t_statucki Happy Burrito-versary! -Jenn,
1062788168854974464,@JMoneyyyy_ That shouldn't happen. Please give us location details and your contact info at https://t.co/nrhUDiEk7G  https://t.co/sJq7RMmBl2,
1062787665131659264,@Stevemassaro8 Our chips are made fresh in store every day. They probably weren't cooked quite long enough to get t  https://t.co/o7ZA4bbZBB,
1062787513499160576,@Aguuber We're working on one in a few test cities right now. Patience  friend. -Jenn,
1062782458641440768,@PhillipsFire While there's part of the application process that requires you to read/approve the donation minimum  https://t.co/wRicBzgdBH,
1062782318664994819,@krisitnareed While there's part of the application process that requires you to read/approve the donation minimum  https://t.co/J5mudDhUxz,
1062752784481689600,@godmotherboss Good karma  indeed. Send us a DM! -Jenn,
1062752450841587716,@Weak3n Priorities. -Jenn,
1062752137036357632,@Ejalette Yikes. Next time you're in  please let a manager know what happened  or write to us at  https://t.co/khbuKUWOz6,
1062749650610995200,@ctsmithiii Looking good - happy hump day  Tom! -Jenn,
1062744348884918272,@Stedd1177 Sup? -Jenn,
1062744150863437824,@StephenBender1 Yes. -Jenn,
1062729853366099968,@MeganCroswell You can totally ask for plain rice in-store. -Jenn,
1062729795090432000,@nataylay We sure try to! -Jenn,
1062729654409269248,@IHairnandez It's certainly something we offer all crew members. Feel free to chat with your boss or call the ESC f  https://t.co/f7XnTIjMak,
1062728146280202240,@GabsGetGnarly This is concerning. We would like to speak with you directly. Please send us a message here: https://t.co/nrhUDiEk7G -Jenn,
1062728101195595777,@conxvan Each ingredient has a point value. Rice  beans  veggies  salsa  sour cream  cheese  and lettuce are all on  https://t.co/CvNOIbjstX,
1062723929717071872,@Raymirez24 "on accident... for flavor" ... Mmhm...   -Jenn,
1062720471844773888,@davidpalomino8 Yeah  we're working on something like that in a few test cities right now. -Jenn,
1062586316687323136,@fcvkyouimvee This is gold. -DJ,
1062583090852388864,@sheeenak This is concerning. We would like to speak with you directly. Please send us a message here: https://t.co/nrhUDiEk7G -DJ,
1062581650935177216,@NW_RN It's the little victories. -DJ,
1062581408114327554,@rebeccamoyer_ That can pass. -DJ,
1062575437170257920,@kayferina  -DJ,
1062574759966322688,@sammikuh94 We'd also appreciate if he didn't do that. -DJ,
1062573492992925696,@atouchofgee Sorry to hear about this. Send a message to https://t.co/nrhUDiEk7G and someone will be in touch. -DJ,
1062570083766165505,@_ASMarc Send a message to https://t.co/nrhUDiEk7G and someone will be in touch to help. -DJ,
1062569967558815744,@Klau_xo Burritos are really great at satisfying cravings. -DJ,
1062567158830559233,@FanboiRyu Yes  quite the #ChipotleProblem. -DJ,
1062562889125498881,@_raychild We re concerned to hear this. Would you please share more here? https://t.co/nrhUDiEk7G -DJ,
1062559023097176064,@brettstauff40 The feeling is mutual.   -DJ,
1062556778200731649,@ArmstrongNolan Hmm.. you may have just done something there. -DJ,
1062555935162408960,@bailibaro11 Hmm.. that's odd. Send a message to https://t.co/nrhUDiEk7G and someone will be in touch to look into this. -DJ,
1062555227482660864,@SamChristineM I'm sure it was just as adorable. -DJ,
