ID, Media, Link
1062083330852581376,@arbor_bot what d you make?,
1062078610511749121,@Sixelsixel thanks for hanging out with us on your trip!,
1062078506925019141,@Kaessa thank you for your service!,
1062078394454761472,@EightyJ we love our veterans!,
1061698576357773313,Mashed potatoes are a sauce. Send tweet.,
1061325617692590080,Bananas are edible boomerangs and we will not be convinced otherwise.,
1061002695635550209,Denny s Holiday Tip #3: more family coming? toss out the gravy boat  invest in a gravy yacht.,
1060274172180480000,@nclk95 we use real lava and real cake,
1060274034154323969,@KristinaChenaul you are an OG diner and we appreciate you,
1060273942512963584,@snowkitten14 you can not buy it  you must weave it,
1060273875689373700,@tierneyjharris BECAUSE OUR PANCAKES ARE OUT OF THIS WORLD,
1060273778834444290,@benyweir we were just as excited as you were,
1060243338555736066,woven together  bacon strips become a heated and delicious blanket.,
1059914504455315464,@pencilanon ahem  we have pancakes,
1059912718893879296,@Travel2asiaa what a coincidence  they want you. Come to Denny s.,
1059912642389778434,@elanayaffa we re starting a slow clap for this decision,
1059912522407575553,@KarGabriel5 caffeine at night? You re living on the edge!,
1059912421278654468,@ApacheCook happy birthday  patriot,
1059545600222552064,@AnnaBowman8 tbh all of them,
1059541160790650880,@sweetenerbaran finally! you're awake. come to Denny's.,
1059540967588540416,@_YoungSavvy__ you don't have a problem. you have great taste.,
1059540839876214785,@TheDrewMack you can do whatever you want Drew  you deserve it,
1059540476938895362,@Fon_ZONE we're here,
1058812405151682560,pumpkin pie                   milk shake                                  pumpkin pie milk shake,
1058365793879121922,@DillonJohnW We had to do a double-take  we thought we were looking in a mirror @ErinEliseSmith! We think your outfit was a Grand Slam!,
1058063187159982080,one pancake is just a stack of pancakes but lowercase,
1057010302531854336,@DeMarcoJoseph_ thank you for waking people up,
1057008300565430277,@kayhettin you speak only the truth,
1057007797798354944,@becc4bee they are experienced and have great taste so we agree.,
1057007677967081472,@Chopps29 what he said!,
1057002651949375488,we snapped when we made our Pumpkin Spice Pancake Breakfast  and that s the tea,
1056298266860683264,accidentally getting an extra strip of bacon  the original rags to riches fairytale,
1054848380869005313,@McPhaggnugget94 could not agree more,
1054848302519410689,@istandennys oh wow. we love you too! we d like to put an onion ring on it,
1054848216070537219,@aussiedilf @aavi_y we love you too. let s all meet up,
1054848051603484672,@jmichelleee__ do we have a menu for you,
1054847828974100483,@iiBad_Romance why not both?,
1054453208305856517,@MissLauraMoses that woman is a hero,
1054453079498743809,@Jack_Greyhound no problem!,
1054453012037537792,@jessica_cedis Come get one!  ,
1054452943976648704,@TheyLiveWeLove we do it for you!,
1054452865366978566,@DirectedbyNickH welcome to the team,
1054071317438189568,Jimmy Buffet: do you like pina coladas? and getting caught in the rain? waitress: well we have lots of sodas and a  https://t.co/XZZ2JhtoEu,
