ID, Media, Link
1062815689239658496,@abyrnes152 We do too!,
1062810858672267275,@KaijiTang @Grimno Exactly.,
1062805821938130944,@Ninja_with_no_L  ,
1062803017148387328,@fantasyFB17  ,
1062801671124893698,@SilencedKnight_ @OzoneColfpup Never left!,
1062800868943249410,@LedoPizza What duos were made for  ,
1062800643759452160,@SilencedKnight_ @OzoneColfpup  ,
1062800534741106688,@cinxsav Cooking privileges revoked.,
1062800390385623040,@Grimno @KaijiTang                ,
1062760300297027584,@KevinRBrackett We can't!,
1062760265098412033,@ScottGaming007 24/7,
1062744334624272384,@WarBot3000 Then we agree.,
1062743966691573760,@KonorForReal Hey...,
1062743764932935680,@WarBot3000 Can we agree with this?,
1062743018078437381,@plantthatc4 Correct.,
1062742768890593280,It s not deliveryyyyyyyyyyyyyyy  #EscapeAConvoIn3Words,
1062721130614661120,@josephgearhart6 @Splash_youtube @swaggles2 @ToastOvn Nope.,
1062719192724434944,@HamiltonTheCat2 @FortniteGame Welcome to the team.,
1062717846277378050,@Whitnesia @codepinkgamer Correct.,
1062715437664874496,@Kotalee_babz @codepinkgamer That might be true.,
1062715403724562432,@Kotalee_babz Especially!,
1062713530821079041,@amandaping_ We're trying over here.,
1062711299627499520,@codepinkgamer We're suggesting you do whatever you want!,
1062708644410810370,@jabman6961 We know!!!,
1062705402578681856,@danalaluna Really though?,
1062702442972884993,@DeboVernon @madihubble On our way!,
1062702034888089600,@__xpo__ Surprised?,
1062701911969816578,@__xpo__ Okay ;),
1062701738157924352,@DeboVernon @madihubble Run. Please. Or drive. That sounds better.,
1062700963142778881,@DeboVernon @madihubble We are. We really are.,
1062700335624544256,@DeboVernon @madihubble 24/7 with DiGiorno.,
1062699270690820097,@gadamskiiv Magic?,
1062697980434747392,@kozai Best team.,
1062697828739366916,@therockJ1 We appreciate that!,
1062697769746477058,@curtisegipson Something like that.,
1062695995253895168,@raiinyontwitch Very very very far.,
1062695268808884224,Seems like a great day to eat pizza.  #NationalPickleDay,
1062694997684879363,@Splash_youtube @swaggles2 @ToastOvn 6 hours later.,
1062690892832743424,@KonorForReal Crispy.,
1062676522463449088,The undisputed champion of Crispy Pan Pizza = DiGiorno   #DiGiornoNotDelivery https://t.co/NQ07gaQA5n,http://pbs.twimg.com/amplify_video_thumb/1022796979439591424/img/59rCtuW1ipFJbDI7.jpg
1062663662803001344,@0226Patriots  ,
1062641933292572672,@0226Patriots We can and should.,
1062641843970682880,@rannemopia Nice...,
1062641780296957952,@TheSweetestTi Our favorite  ,
1062641696436043777,@EvoBeatz_ Can t lose!,
1062641619122507777,@heyitsevanne  ,
1062641590743826432,@MalijahWiltz #1  ,
1062641346035548160,@savage_wolfe  ,
1062641271574016000,@jandkplus1 Maybe.,
1062641015985750016,@ebyrdstarr We don t!,
1062640968858591233,@RD28327 Go with that feeling  ,
1062640209433636868,@Sigils  ,
1062640142849114112,@BigGunn Thank you!  ,
1062640111551168512,@AustinDrippon @Sigils This.,
1062640041372069889,@Sigils What would we do without you?,
