ID, Media, Link
1062808136724242432,@JessiicaRennee we have plenty of pancakes!,
1062802647525326849,@callmenatcx come get some!,
1062802452372692994,@nbholl9 we want to see you! get here,
1062802226467475456,@cassidyysanford we want to see you! get here,
1062802186449682432,@xdulceee so then come and get some!,
1062790886050971650,@Carolin81278791 come get some pancakes!,
1062790847018745856,@iamdarrenopoku come see us soon!,
1062783636636950529,@anjaaali_17 come get pancakes!,
1062783546794876928,@gorgnaae so get here!,
1062776138068619264,@aleizacorral come get some pancakes!,
1062775994791137280,@sierraalexiss_ we have both  stop by!,
1062775099261181953,@leyla_joanne YUM  thanks for stopping by!,
1062774592199106560,@kelcilajuan so get here!,
1062774209213030400,@andres_rg21 yessss  get here!!,
1062773927221620736,@TaylorAWeeks Grinch pancakes are the best  ,
1062756071390044161,@imraaaynaa so then get here!,
1062753582078980096,@Shkayla_S come get some pancakes!,
1062753508754157570,@queenVaundra that sounds like a plan!!,
1062745697106251783,@shellmerivers we reallllly wanna see you! get here,
1062745575064526851,@MamiRose_ sounds amazing,
1062745536170725376,@Dunsin_AA so then get here!,
1062739799256248326,@RozayySlayy what are you gonna order?!,
1062739656184340480,@liana_infantas_ sounds like the best kind of morning,
1062737890340470784,@ChrisLitteken we wanna see you! stop by,
1062734418366922753,@realest_goddess What you have shown is far from the quality we expect for our guests. Please contact us here  https://t.co/EcgE4HJ05P,
1062731486418345984,@shmurdaCEEwrote we want to see you! get here,
1062731404390400001,@dulcevega99 we really wanna see you! stop by,
1062731275604316161,@_SimplyJanae_ well then why don't you come and make it happen!,
1062731106670264321,@alexissotexas looks so good!,
1062731017486774272,@lu_jx3 what're you gonna order?!,
1062729361688813568,@alydanganan the pancakes are calling your name!,
1062729284639514624,@alexissotexas so then come and get some!!,
1062729212921110528,@a1b_erto did you stop by?!,
1062729186052395008,@LightSkinKeyla we wanna see you! get here!,
1062729127885762560,@CeeTheeGreat so did you stop by?!,
1062729050412761088,@Micahmichelleee that sounds like the perfect celebration!,
1062728811647778816,@dshanicee_ make it happen!,
1062728675701989376,@_Princess_Renay the pancakes are calling your name!,
1062728670480076800,@talieep so then why aren't you here yet?!,
1062728513046896641,@LoveLiveLyshaa_ are you here?!,
1062728013022928902,@Mare_ToldYa follow your cravings and get here!,
1062727840490315776,@Angel_Denise_ the pancakes are calling your name!,
1062727385454428160,@MamiRose_ yes you do!,
1062727264775929857,@DiamondJah so did you visit?!,
1062726956083544066,@evennny we want to see you!,
1062726839527972864,@gviilllaa get here!!,
1062726585793634305,@jeriyahsimone make it happen!,
1062726447041835008,@meiaraschaefer always does,
1062726177717211137,@londra_agu sounds like a plan!,
1062725985760694272,@vanne0098 so did you visit?!,
1062725857247199232,@oharnela so then get here!,
1062725801433595905,@miguelaruizjr so get here!,
1062725262570332160,@sabohohohogal did you stop by?!,
1062725062539837440,@MGK_risti the pancakes are calling your name!,
1062724714949476353,@Kethy1103 so stop by!,
1062724349017366532,@o_shaeee make it happen!,
1062723228924284931,@starann260 come get some pancakes!,
1062723168417267712,@malloriekarnes come get some!,
1062722868549689345,@ballew_peyton Yum! We're so glad that you enjoyed,
1062722730079019008,@savagedee We're sorry to let you down  we'd like to learn more and ask that you please contact us here  https://t.co/iN6N7UUalT,
1062721331563765761,@laurassparkle yum!,
1062720493701287936,@raisavelez Thank YOU!,
1062719570191007744,@_yesi_99_ are you here yet?!,
1062719533587316736,@DianneMortera so then come and get some!,
1062719496538992640,@lovesicpt3 we want to see you! get here,
1062718735620796418,@_xoAmbitious_ we want to see you get here!,
1062718600010641408,@chinemonka we wanna see you! get here,
1062718417071824905,@michelebergxx so then get here!,
1062718376823476224,@laureneliseTV thanks for stopping by!,
1062717719756357632,@__Indxgo but we wanna see you  get here!,
1062717287348793344,@Coco_Morse bring your taste buds here!,
1062717264904867841,@Briiitbratt so then come and get some!,
1062717186144432128,@makenzietokes We're sorry to let you down. We'd like to learn more and ask that you please contact us here  https://t.co/QLa6EGFTuj,
1062457708924809223,@HarvMikey we're glad that you enjoy!,
1062432573425680384,@shaunieedarling what'd you get?!,
1062427635299614722,@iamKamDadi get here!,
1062424424639537157,@AfricanPrize Hello  we take this very seriously. We'd like to learn more and ask that you please contact us here  https://t.co/yoCS0dS9t6,
1062421978680885250,@DannyBoy111285 thanks for celebrating with us!!,
1062421710148980737,@ariayah3 yessss  come get some!,
1062421591299186696,@NatalieRibeir16 sooo then get here!!,
1062421057779523584,@jailine_hg we want to see you! get here,
1062420461626277888,@marianjt_4 don't frown  get here!,
1062420436695371777,@ryleewilliams_ stop in!,
1062420421432274944,@Michellethoo_ you know where to find us!,
1062420392273473538,@_samitaaa get here!,
1062420359130107904,@xoxthelmaa get here!!,
1062420312107741186,@Laeeex_ make it happen!!,
1062420289630453760,@Bobbie_Sue82 looks so good! thanks for coming in,
1062420259783753729,@katie_reneee bring those taste buds here!,
1062419562258415617,@Vsqzbecky yessss  get here!,
1062419481492942849,@ian_walk_er we want to see you! stop in,
1062419427080241153,@D_Rod55 yesss  get here!,
1062418744461459457,@superduperjoka we could really see you rn.,
1062418338872201216,@alexis_noemi well then get here!,
1062417956699811841,@ChristySantoyo well then come and get some!,
1062417674242801665,@_ashleynray so then get here!!,
1062417582140071937,@ivy_wheeler1999 you know where to find us!,
1062417543858741248,@_jadababy88 you can say that again!,
1062414657133133824,@deisyr_10 follow your cravings and stop by!,
1062413667252215808,@joccelyyne well then make it happen!,
1062413623899897857,@iceiceteatea what're you gonna order?!,
1062413570250551296,@Dezura14 you here?!,
1062413159665991680,@Welp_NextPaige so then get here!,
1062412609226444800,@CassieUlloa can't wait to see you!,
1062412583435751427,@_a_hard can't wait to see you!,
1062405932687208448,@Jaylann14 make it happen!,
1062404539620433925,@martinezbere3 so then stop by!,
1062391177834610688,@_mynameistay make it happen!,
1062391040500482049,@ronitanisaurus well then get here!,
1062389132138332160,@T_Simone_ so then get here!,
1062382951567147008,@DemonKatherine We're sorry to let you down  we'd like to learn more and ask that you please contact us here  https://t.co/148sT7WtfX,
1062378515599908865,@KAC443 We're sorry to hear that  Kyle. We'd like to learn more and ask that you please contact us here  https://t.co/Bt3rxPcTmg,
1062375184026480640,@HippySwanky_ you know where to find us!!,
1062374983693930496,@ItsButaflii so then come try them!,
1062374886176370690,@TUNNELVIZIONP are you here?!,
1062374863904690176,@Lweezy__ we wanna see you! get here,
1062374780761006080,@Mia_Sanchezz_ where are you located?!,
1062374757688111104,@lexx___8 well then get here!,
1062374719033352194,@_dom_ination yesss  get here!,
1062374663165239299,@leyla_joanne get here!,
1062374635675754497,@StayStaves can't wait to see you!,
1062372839477649408,@xoxoallyssaa we want to see you! get here,
1062370087171252224,@GizellePreciado we want to see you!,
1062365566244192256,@daniiethagreat make it happen!,
1062365445758615553,@RBadgaal get here!,
1062365417774161920,@caila_martin come get some pancakes!,
1062365318377553920,@sheaintdayle we want to see you! get here,
1062365216468557824,@lashaap_ you know where to find us!,
1062365191319498752,@Izolaxoxo so then stop by!,
1062365150836154368,@devvmarleyy well then get here!,
1062365102253465600,@SimplyMe_Whit what're you ordering?!,
1062363992449040384,@Cpaulina97 the pancakes are calling your name!,
1062363082251493376,@neosoulnove We're sorry to hear that. We'd like to learn more and ask that you please contact us here  https://t.co/0uv5u05Isp,
1062363039901646848,@crazyjadedstar We're sorry to let you down  we'd like to learn more and ask that you please contact us here  https://t.co/U5U6FFncDU,
1062360851594833921,@Teauunah_ IHOP definitely,
1062360690160267265,@TTR__2K so get here!,
1062360081759657984,@343JEFF thanks for stopping by!,
1062359203048775680,@samantharen1 sounds like a plan!,
1062356478953246721,@thetenniswang Hi  Daymon. What you have shown is far from what we expect for our guests and we take this very seri  https://t.co/T6pKx2My6w,
1062355978535030786,@sarxii4 thanks for stopping by!,
1062089346017382401,@deelondra so did you stop by?!,
1062084928152748032,@_shesdenise follow your cravings and stop by!,
1062084826835095553,@pndnikki sounds like we'll be seeing you soon!,
1062083110454599685,@soapnatwun come and get some!!!,
1062083012450570242,@aamourr__ so then stop in!,
1062082635751677957,@vanasa_17 we wanna see you! stop in,
1062081364743409665,@spacejunk147 We're sorry to let you down  we'd like to learn more and ask that you please contact us here  https://t.co/8EOPlG465e,
1062078662554632192,@BlancaG925 we want to see you!,
1062078439467966468,@jenniferlpz__ so then get here!!,
1062078389312479234,@sasha_annmariee we want to see you! get here,
1062078289529978880,@jkuechler get here!!,
1062078254209777664,@EHdz930 We're sorry to let you down. We'd like to learn more and ask that you please contact us here  https://t.co/QD4GPGFLJp,
1062078196303175694,@maryanne105 Thank YOU!,
1062070569867317250,@gracemarsh99 get here!!,
1062069066393903107,@TainiyaG stop in!,
1062067944828624897,@radicalcudi sooo then get here!!,
1062067684089716742,@kaulaokalani_ we wanna see you! get here,
1062067368719986689,@_itsDONI we wanna see you! get here,
1062061766098780163,@joannapazz get here,
1062057528471814145,@kelseyxgrace Hello  we take this very seriously and would like to learn more and ask that you please contact us he  https://t.co/ecfcPV9uRL,
1062057223092953088,@lifewithlexxy we wanna see you! get here,
1062057123247468546,@AdonicaMendoza we really wanna see you! get here,
1062055189367214081,@joelharris23 we really wanna see you! get here,
1062055104214380546,@jsaraullo21 you know where to find us!,
1062055045104054272,@theatergrl4life you know where we're at !,
1062054987910516736,@lilidig so then come and get some pancakes!,
1062054953617891329,@DatzMzTara2U sounds like you'll be coming in soon!,
1062050715349213189,@_anaahdz IHOP definitely,
1062050010186113025,@ij_ijah make it happen!,
1062048099890282499,@Mdvsqz15 we wanna see you! get here,
1062008823530053640,@_malisl don't frown  the pancakes are calling your name!,
1062007308417490945,@JaanxLey sounds like a plan!,
1062006089439461376,@_jessicamitre_ get here!,
1062005484633407493,@yoitsmizd so then get here!,
1062003094416953344,@SolomoneSavelio We're sorry to let you down. We'd like to learn more and ask that you please contact us here  https://t.co/i9bhordxic,
1062003009088077826,@john79454141 We're sorry to let you down  we'd like to learn more and ask that you please contact us here  https://t.co/djBgtD91qF,
1062002876455763969,@cozilouis we wanna see you! get here,
1062002586218307585,@liyah2timess we wanna see you! get here,
1062002542375264256,@monsegalvann we wanna see you!! get here,
1062002311206223872,@Malarcon_Jose the pancakes are calling your name!,
1062001306259329024,@gallardo_xoxo stop frowning and get here!,
1062001033063342080,@naortiz713 so stop by!,
1061999732887826432,@_Saraviaxo so then get here!!,
1061998916978249728,@rrsaez97 we really wanna see you! get here,
1061998420766924801,@Jenn_geraldino so then get here!,
1061997776316309504,@Topicofthecity so then get here!,
1061997210508910592,@acamadduma so then get here!!,
1061997137976795137,@lebran_5 so then get here!,
1061997096579092481,@SimplyEval we want to see you!,
1061993864175718400,@TheBaconBrotato yumm   thanks for stopping by!,
1061992700499648512,@KINDOFD1RTYFACE We're sorry to hear that  we'd like to learn more and ask that you,
1061992316506947585,@CandidMind_ we wanna see you!,
1061991526778187776,@sarahhfielding we wanna see you! get here,
1061991443898732545,@Yazan_wf We're sorry to let you down  we'd like to learn more and ask that you please contact us here  https://t.co/62WhZYFHbm,
1061991254073004034,@morganzamiarr We're sorry to let you down  we'd like to learn more and ask that you please contact us here  https://t.co/BXtyTtlu9L,
1061990553699733506,@PartonScoonInv Thanks for celebrating with us!,
1061641903110868993,@brittanyhepley We're very sorry to hear this and we'd like to learn more about your experience. Please contact us  https://t.co/2wC7gR938e,
1061641190335004672,@Angie64110 We're very sorry to hear this and we'd like to learn more about your experience. Please contact us here  https://t.co/mzXYC1TTm8,
1061640964744323078,@Pokeynotw We're very sorry to hear this and we'd like to learn more about your experience. Please contact us here  https://t.co/ONbnOePvU7,
1061640304703488001,@DeepWaterLife We're very sorry to hear this and we'd like to learn more about your experience. Please contact us h  https://t.co/QHJrDCi0OW,
1061015642848067584,At IHOP   we thank our Veterans with FREE breakfast. Join us on November 12  from 7 am to 7 pm  for Red  White  and  https://t.co/qR605uhUBM,
1059830271128756224,Eat your greens this holiday season with the new Grinch pancakes at IHOP. https://t.co/X2ORWO12rq,http://pbs.twimg.com/media/DrQwmECXQAMJMKj.jpg
1057995675382689792,Grinch Pancakes at IHOP. Try them before they re stolen. #TheGrinch https://t.co/MG2dVWnmY1,http://pbs.twimg.com/media/Dq2voKgV4AAF8AD.jpg
1057759199898333187,The only thing spookier than a Scary Face Pancake is a hangry child on #Halloween. Bring your kids in for a FREE pa  https://t.co/VN4LwdpSLi,
