ID, Media, Link
1062763500932620288,@PatWalkerWX Bring on the snow.  ,
1062763432829706241,@laurelshada This is a masterpiece.,
1062439663200362496,@idefkam1 Hey. Love ya back.,
1062439620850450433,@morgan_triscari Happy to help. Xoxo.,
1062439555108929536,@XBLThePusher Monday nights &gt;&gt;&gt;&gt;,
1062439426796720130,@ThePINKlilypad Aw  shucks.,
1062435099730419713,@lia1825 Okay  now we're blushing.,
1062110903552929793,This OREO cookie goes out to the 18 700 000 Pok mon Trainers who are excited to see the #DetectivePikachu movie! https://t.co/a4U04hiHwb,http://pbs.twimg.com/ext_tw_video_thumb/1062110303733927936/pu/img/UYb5Y7LE9c8iQYda.jpg
1062076255321894912,@MrDanielMoreno *crickets*,
1062076161776406528,@amanda522 Enjoy.  ,
1062076104729604097,@lansdownrefugee Glad we could sweeten your Sunday!,
1061022278991921152,@Adrian51901896 Happy to make you happy.,
1061022236801413121,@Dar_Thatcher You really got our good side.,
1060947078325694466,@DairyQueen Ooh  mysterious! Guess we ll have to keep wondering. Either way  it looks great!,
1060943712170242048,Hi! We are OREO cookies   can we ask you a question? https://t.co/GPiWAHFXHw,
1060924982379732992,This OREO cookie goes out to the 6 205 689 #Couples who know that cuffing season is for sharing OREO cookies. https://t.co/fzYc4odOJ4,http://pbs.twimg.com/amplify_video_thumb/1057699717155614721/img/nMtKa6FshxeOKYIA.jpg
1060585346025615360,@HaleChristy Aw  shucks.,
1060585239486062592,@misguidedmommy You really know how to make a cookie smile.,
1060562592752721921,This OREO cookie goes out to the 420 408 #Pinball Players who know that the most delicious games have a milk target. https://t.co/OLsgtDvLfw,http://pbs.twimg.com/amplify_video_thumb/1057699718699143168/img/7kZia_NeDcFHYJQS.jpg
1060317093562892288,@bencasnocha @barryrothbart Hi there! We re quite fond of your dog Oreo s name (no surprise there  ) and would love  https://t.co/pCOUVfi4rs,
1060316981461704709,@barryrothbart @barryrothbart Hi there! We re quite fond of your dog Oreo s name (no surprise there  ) and would lo  https://t.co/OlVrfbuNvu,
1060258852975898624,@Estinton This is something we can get on board with.,
1060258767324041216,@sloonis Happy to help.  ,
1060258619583795201,@katereigle Respect.,
1060258557860438019,@dcherring Can't argue that.,
1060258381900988421,@RandyTravisFox5 We're honored.,
1059872090013216768,@RoyTheLucario Xoxo.,
1059853255101112320,This King Size OREO Chocolate Candy Bar goes out to the 26 367 622 Office #Besties who keep chocolate by their desk  https://t.co/ooBGcdVMpy,
1059851615296020481,@GameOverGreggy We hope those are OREO crumbs under your fingernails...,
1059849983774605313,@KariVanHorn We are speechless.  ,
1059849935460462592,@Perrychica Well  hello there.  ,
1059849872499712000,@tucky316 You really know how to make a cookie smile.,
1059492144270983169,@DoriGronich Well  hello there  Mimikyu.  ,
1059488807328849921,@CarsingoPlayz Xoxo.,
1059488735505477639,@ArtsyAudrey23 Spooky and delicious.  ,
1059488662084304899,@CherryBerry202 Glad you enjoyed.  ,
1059486537006698496,@MsSassyKassie HI Kassie! Stay on the lookout for our Winter and Peppermint Bark OREO cookies  in stores now!,
1059486478642896896,@SkywardKeyblade Xoxo.,
1058406194094714881,@Dmonlrd We're blushing.,
1058406142651568129,@ellokitty5 Hey! Here to brighten your day.  ,
1058406090826756096,@jerseyoriginal Enjoy tasting.  ,
1058118770571599872,[Raises hand] For what it's worth  we are definitely here for this. https://t.co/CBOqdxCBxt,
1058080558062813184,@BeaversColeman You really know how to make a cookie smile.,
1058080515155214337,@JeeYeonParkCNBC This is a tradition we can get on board with.,
1058080418916954114,@kristineyjones @gpj We're honored.,
1057739271648542725,This OREO Thin cookie goes out to the 4 915 422 #trickortreat givers who know that even the thinnest treats can be  https://t.co/omwDLOq5Wy,
1057706371800592384,We re happy that you tagged us In this tweet about your car We hope you haven t forgotten That we make a Candy Bar https://t.co/xe3adpU4AQ,
1057672840688869378,@arodm_ Aw  shucks.,
1057672796875186176,@Sask_In_NS This is something we can get on board with.,
1057672705032552448,@Tyiesha__ You're making us blush.,
1057672638917763078,@lawgirl054 Happy Halloween.  ,
1057334920304037888,@wsdraper Happy Halloween.  ,
1057334802234380293,@antriggs Not if it's delicious!,
1057334756583620609,@TheOnlyJNorth Welcome back.,
1057310151244500997,We are absolutely over the moon for this one (and it's not just a phase). Maybe try them for dessert next time? https://t.co/0oNxueo6rC,
1057029847543881729,@courtneynoellee Does stacking OREO cookies into the shape of a cake count?,
1057029804627841030,@StephenWThomps3 Xoxo.,
1057029756305182720,@Paddywagn You really know how to make a cookie smile.,
1057029698243440640,@mohnish104 Well done.  ,
