ID, Media, Link
1062814908222451712,@Antonio_Mariona There s nothing here.,
1062814854027845633,@MSUmaroon It s sort of the best,
1062813161093586949,@chestultrajay You selling or buying,
1062813095322619904,@Naya37292052 Don t do that to yourself,
1062812893522075648,@brandan51 If you got the sales tax  yeah,
1062809573541715973,@AndreaWhiting3 Oh no! That's definitely not okay. Please DM us the restaurant location and your phone number so we can make this right.,
1062808814343385092,@Dilly84 That's not okay! Please DM us the restaurant location and your phone # so we can look into this. Thanks!,
1062807002794074115,@HannahKofficial This isn't the service we expect. Please DM us with the location and your contact info so we can look into this further.,
1062806951350935557,@merladie This isn't the service we expect. Please DM us with the location and your contact info so we can look into this further.,
1062806724795682822,@Curtistafreeze We're sorry to hear that! Please DM us the restaurant location and your phone # so we can make this right. Thanks!,
1062806662564757509,@ItsJustAJayyy Basically yeah,
1062806415096643584,@hailey1617 We're sorry to hear that! Please DM us the restaurant location and your phone # so we can make this right. Thanks!,
1062805933842153472,@zashatdali Oh no! Please DM us the restaurant location and your phone # so we can make this right. Thanks!,
1062805250527162369,@devspeed That's not okay! Please DM us the restaurant location and your phone # so we can look into this. Thanks!,
1062805006821269513,@ItsTheRealVee Come through boo,
1062803835352166400,@Uribe13_A Incredibly,
1062802589828423682,@mike28346423 Waste of money,
1062802115607871488,@joeydoenutz That doesn't look right! Please DM us the restaurant location and your phone # so we can make this right. Thanks!,
1062800107899404289,@fueledbykierra Oh no! Please DM us the restaurant location and your phone # so we can make this right. Thanks!,
1062799020660322304,@lilbicckky That's not okay! Please DM us the restaurant location and your phone # so we can look into this. Thanks!,
1062796814200512515,@Danny_therealDR That doesn't look right! Please DM us the restaurant location and your phone # so we can make this right. Thanks!,
1062793816703488006,@ereed_32 We're sorry to hear that! Please DM us the restaurant location and your phone # so we can make this right. Thanks!,
1062791714472112129,@banddupant Pics or it didn t happen,
1062790650536624128,@Lathescorpion  ,
1062789692905656320,@dstos11 Thank you so much for the wonderful compliment!,
1062788971112079360,@i_STAYflY Thank you for such a wonderful compliment!,
1062786605226823681,@Lol0918 The perfect post test eatin,
1062786349412032512,@GuyWhoGames21 Maybe,
1062786312871337986,@JTSplawn Awesome!!!,
