ID, Media, Link
1062814787963359233,@TylercVogt What the. Send us a PM so we can look into this.  https://t.co/wOEheAmtQD,
1062804865489920000,We have reached peak enlightenment. The epic conclusion of Wu-Tang in Space Eating Impossible  Sliders is now avail  https://t.co/5r5rlJNREX,
1062726862164688896,@cestkevvie They'll be back soon!!,
1062726703968075781,@iwannabeabob Ok!!,
1062427671240564742,@SkizzleMyNizzle @ImpossibleFoods Uh...it is a thing lol,
1062423392933109760,@JonathanSWest Hey Jonathan. Thanks for letting us know! We're happy to hear Doris made everything right. We will l  https://t.co/VtG7Sx5RD8,
1062358046494613504,@BrianBritz Soon!!,
1062125392343920641,Don t wait until 2019 to revisit your childhood. https://t.co/Nce83mR1hE,http://pbs.twimg.com/media/Dr1P5fKXgAgalWF.jpg
1062111335318720513,@kaiokendall Ride or die,
1062109561434374147,@kaiokendall Hey boo,
1062086700824977408,@Jep_To Thank you for your service  John!,
1062086152319066113,@cestkevvie   Perfect to stay warm with during those cold Chicago months!,
1062085714840641536,We lost a member of the family today. RIP Stan Lee. Excelsior! https://t.co/gjyakcVu0k,http://pbs.twimg.com/media/Dr1JUHRXgAUcPZR.jpg
1062064990893563905,Reach for the  s t a r s  sliders. Episode 3 of Wu-Tang in Space Eating Impossible  Sliders is now streaming.  https://t.co/kAB5fUg48z,
1062044144649019392,@1ArtsyChik Yes!,
1062026603121782784,@1ArtsyChik Yes  we always carry our Veggie Sliders  ,
1061995133300850688,@Fatal_Romantic  ,
1061994899636150275,@larisa_lynch Hey there. Send us a DM so we can look into this https://t.co/wOEheAmtQD,
1061994642873442314,@Lesbi_King Road trip?,
1061994549256560640,@KoopaKabana_ They'll be back! We promise.  ,
1061000901446549504,@MrsAlyseBergman Thank you  Alyse! We are happy to hear it. We will send them a note thanking them for their wonderful service.,
1060995652006465536,@BigFilth_ HA not next week but like SOON  ,
1060991858367782912,@heyybrooklynn Hey Debs we will think about it!,
1060991753568878593,@JamesCochran Of course! Send us a DM https://t.co/wOEheAmtQD,
1060985039268265984,@BigFilth_ You'll just have to wait a tad longer...but they'll be back :),
1060954729868640256,one taught me love one taught me patience one taught me pain https://t.co/tmPCxhW68s,http://pbs.twimg.com/media/DrlEhlgXcAEZrmU.jpg
1060948694818873345,@JohnCane440 You sound adventurous.,
1060913664700678144,@LouiseDmolina43 We're here! You can find us in all 5 boroughs. Search locations here: https://t.co/wkOLhjutBZ,
1060912779643764736,@The_Rippening  ,
1060912596197535744,@GuapoSlum The secret ingredient is chicken &amp; waffles but ssh keep it on the DL,
1060600737762304002,@audioHallucina1 Probably!!  ,
1060577785150914560,@jhshifris11 Tangy bistro sauce  ,
1060571649760813056,@iLoveCHUNK We don't franchise but if we did you would be first on the list chuck,
1060570140935213056,It s turkey season! Try a Cheddar &amp; Apple Butter Turkey Slider or a Bistro Turkey Slider today!  https://t.co/L5vEfsnpBf,
1060560786786017280,@DeBruler2324 Vegans and vegetarians get drunk too  dude,
1060560531428442113,@myiceisblack04 ROAD TRIPPPPPPP,
1060560483705589765,@SensiblyLoud @jmac_founder This is the face of a happy man. We look forward to the glowing review.,
1060560366114140160,@KiloDotGram  ,
1060560084114259968,@BenjamInsistent @nick_schasch OKAY!!,
1060559962227859456,@Just_GorJess WE CANNOT,
1060559739938050048,@cinnamon_asian Thanks but was the beer emoji really necessary come on Danielle.,
1060559607024832512,@black_rain580 We'll think about it!,
1060559531044937729,@ThatVeganLoyal @ImpossibleFoods Thanks for the compliment... ,
1060559405480075265,@JAYSLEMM You're at the Castle so everyone is royalty here.,
1060559282381484033,@mofibot Thanks  Steph. We can call you Steph cause we're friends  right? We will add Connecticut to the list :),
1060558973257072646,@BelleBeltane Can we just use your profile picture then?,
1060558765441859584,@JohnCane440 TRY NEW THINGS DUDE IT CAN BE FUN AND EXCITING,
1060558655953821696,@Steven_Carr02 Thank you  Steven. We are happy to have slayed. We will continue on this path of slaying  and will hopefully slay again.,
1060558411002245120,@ElTecatito100 2019 SO LIKE SOON,
1060268687603761166,@hinatattoo Us!,
1060207752104931328,Knock Knock. Who's There? No joke. Just delicious Breakfast Sliders. https://t.co/gnUSMqZUEq,http://pbs.twimg.com/tweet_video_thumb/DrWQoYtX0AARmHa.jpg
1059847024089223171,@Matt_D_Rage We didn't even know we were nominated,
1059551859009044480,@kentonsfromohio Wow you're right. We needed to hear that.,
1059550687795781634,@kentonsfromohio We're a restaurant,
1059547304741556226,@NJHAMMMER916 @ShopRiteStores We do offer 16 packs! We recommend you contact Shop Rite about stocking up on our larger packs :),
1059547059416715264,@gummoalonzo Sure you are now a model,
1059513085839466498,@QueenMrazek  ,
