ID, Media, Link
1062821001367576576,@gwensew I've sent you a DM with additional info. I'll also try resending the email sent to you earlier this month too. *CR,
1062820168206819332,@KrazeDiamond That does sound frustrating and I apologize. I don't want this to continue to happen for you either.  https://t.co/qAiougyYFK,
1062819708574072834,@jacksosa17 Hi Jack. I'd like to look into this pricing for you and get this addressed. Can you please DM us your e  https://t.co/VyDAzMCvOj,
1062803447613923332,@itssolatime I'm sorry you're not seeing all of your rewards points. I want to look into this for you. Can you plea  https://t.co/BMFIgfaBKB,
1062799106052186112,@JDeWitte79 Welcome to Domino s Tweet Ordering! Tweet #EASYORDER or   to @Dominos to start placing your Easy Order [15:07:07 EST],
1062798551825203202,@ChristineCTE I'd be upset too and I'm sorry we kept you waiting  Christine. Can you please DM us your email  phone  https://t.co/xWwN3CNqFx,
1062797499277234177,@himans94 Thanks for reaching out. Based on your location  @dominos_india would be best able to assist. *KB,
1062765267984498689,@manthatsfraiche I'm very sorry to hear this. You'll receive an email from me shortly. *JC,
1062764547134685185,@chinthan25 Thank you for reaching out. Please contact our India Team for help @dominos_india *JC,
1062763758748164098,@sunbhat Thank you for reaching out. Please contact our India Team for help @dominos_india *JC,
1062758216759738369,@mallikamathur Thank you for reaching out. Please contact our India Team for help @dominos_india *JC,
1062757980674932736,@deepak010308 Thank you for reaching out. Please contact our India Team for help @dominos_india *JC,
1062752625333059584,The heat is officially turned ON!   https://t.co/scnVc9GGrN,http://pbs.twimg.com/media/Dr-n4L1XcAA2biL.jpg
1062749588287832064,@kathleen_diaz Welcome to Domino s Tweet Ordering! Tweet #EASYORDER or   to @Dominos to start placing your Easy Order [11:50:21 EST],
1062742985077678086,@Dhruv61422391 Thank you for reaching out to us. Please contact our India Team for help @dominos_india *JC,
1062739195184250880,@KaramvirKamal Thank you for reaching out. Please contact our India Team for help @dominos_india *JC,
1062682253942312960,@priyank10089477 Thank you for reaching out. Please contact our India Team for help @dominos_india *JC,
1062671324051660800,@Hbhalotia @sentrum Thanks for reaching out to us. Please share this with @dominos_india so they can help. *MA,
1062665803051491328,@jimmy4ever Thanks for reaching out to us. Please share this with @dominos_india so they can help. *MA,
1062660023896231936,@Grenners Thanks for reaching out to us. Please share this with @Dominos_Uk so they can help. *MA,
1062658884677054465,@Arjun5garg Thanks for reaching out to us. Please share this with @dominos_india so they can help. *MA,
1062657512812482560,@Superthrust Sorry your pizza came that way. Please DM us your name  email  phone#  &amp; store info so we can help. *MA https://t.co/Cf8BiToVpb,
1062656900016291840,@MariitaRocha Sorry your pasta came this way. Please DM us your name  email  phone#  &amp; store info so we can help. *  https://t.co/lSjtOqV204,
1062656351481008130,@StayFlyJW Sorry for the wait. Please DM us your name  email  phone#  &amp; store info so we can help. *MA https://t.co/Cf8BiToVpb,
1062655631910494208,@ViewsFromJavi I'm sorry your food came that way. Please DM us your name  email  phone#  &amp; store info so we can hel  https://t.co/QYmltqd5R7,
1062652686766669825,@lordtourettez1 We take matters like this seriously. Please DM us your name  email  phone#  &amp; store info so we can  https://t.co/wExjIDAO99,
