ID, Media, Link
1062807238191054854,@ElvisFreshlee https://t.co/ZktjrMt655,http://pbs.twimg.com/tweet_video_thumb/Dr_ZioIXgAAmn40.jpg
1062797708530991104,@iamstevensewell There's a little bit of Colonel in everyone  Steven. Trust in that.,
1062797337712566273,@DJrightt Sorry DJ  I must have under estimated demand at that restaurant. Hope you come back to try them,
1062797162491363334,@DLucas111 If your missing the double down  may I suggest the Chicken &amp; Waffles sandwich? Its a chicken sandwich wi  https://t.co/SPEXkTnjE9,
1062796129111285760,@EricWegner Glad you enjoy. Something magical happens when you place one of my extra crispy chicken fillets between two fried waffles.,
1062691618682073093,World famous fashion designer Nigo transforms  Original Recipe  into an inspired new apparel collection. https://t.co/BxqDJYkutQ,http://pbs.twimg.com/media/Dr8hOQyU8AAeQfp.jpg
1062446052568129537,@yaypineapples Language. There are children on the internet.,
1062444489577558017,@MrsButterworths Looks delicious to me,
1062444205212086272,@SamanthaElli0tt That's what I'm here for  Sam.,
1062443832372088832,@Casey_F_Babyy Sometimes its good to take time out of the day  sit and think about everything that's happened and w  https://t.co/bCfvnz9OZK,
1062442527108816898,@KelleysOmnibus @ConagraBrands Our videos feature a fictional representation of the Colonel and an anthropomorphic  https://t.co/aheKh6Fdhx,
1062439822298701825,@StephNicole_PJA What can I say? Chicken and waffles go together like mashed taters and gravy.,
1062439676781445120,@Staufzilla https://t.co/RporbiOsqx,http://pbs.twimg.com/tweet_video_thumb/Dr6LOnVVsAAekUI.jpg
1062439280629506048,@ChevasZolanski https://t.co/bND9DNrIio,http://pbs.twimg.com/tweet_video_thumb/Dr6K35pUcAAW1eW.jpg
1062438000242683906,@MsHchem I hope you weren't extra late to your Zoom meeting as you had to run out and pick up a delicious helping of my Chicken &amp; Waffles,
1062354385777451009,@chef_vs Try the chicken and waffles sandwich. It will take your perceptions of reality beyond the third dimension   https://t.co/u4gN2tiyJS,
1062351731571519488,@SamanthaElli0tt because you never expected two amazing brands to come together in a beautiful syrupy  chicken union.,
1062344331695026179,Will They or Won t They? You ll have to try new KFC Chicken &amp; Waffles to find out. https://t.co/TJtvocS892,http://pbs.twimg.com/amplify_video_thumb/1062153288022294528/img/Vqk9EgeETlKqP_Q5.jpg
1062099431686848512,@KarenGardinier @MrsButterworths @KarenGardinier @MrsButterworths If it were not for this syrup bottle  I'd be standin' here dead.,
1062096339629236224,@DavidBloomberg You were awake  but your eyes might have been a bit blurry as that was @MrsButtersworths.,
1062096157428670470,@Theist313 Theus  this is a partnership between @MrsButterworths and KFC.,
1062095943431061508,@AurleyB Sorry for the confusion  but that s @MrsButterworths.,
1062095652769935360,@mikefreemanNFL That's Mrs. Butterworth's  the perfect syrup for chicken and waffles.,
1062057875474931714,@kylecallahan14 The suspense is killing me  Kyle,
1062057171360378881,@DolfanNeil https://t.co/TQtSauBnI4,http://pbs.twimg.com/tweet_video_thumb/Dr0vWz2VYAApNG0.jpg
1062056689497710592,@Adam_GamesYT I appreciate your innovative spirit  but I would have gone with a nice marbled rye.,
1061983935926685698,That s right. Kentucky Fried Chicken &amp; Waffles together with sweet syrup. And that s all you fine folks need to hea  https://t.co/DZHgEshBFH,
1061721665246318594,@_EddieRay Seems to come earlier and earlier every year  doesn't it?,
1061720193758572544,@khloesylvia Sorry it took me so long.,
1061719996236251136,@Kampvisuals Gotcha! https://t.co/ywInbnYyp7,http://pbs.twimg.com/tweet_video_thumb/Drv8sd-W4AIb19Z.jpg
1061719352439988229,@clickliter33 @MrsButterworths Soon...,
1061719213201653763,@MelaninMimosa Source: The Colonel: The Captivating Biography of the Dynamic Founder of a Fast-Food Empire https://t.co/FCnA3UMKMn,
1061718052474118150,@MelaninMimosa I started experimenting with frying chicken in them right away. Using the base recipe from a Corbin  https://t.co/xIamfOzruZ,
1061717723649097732,@MelaninMimosa In 1932 I heard they were demonstrating a pressure cooker up at the hardware store in Corbin  KY. I  https://t.co/3ddMt5IP86,
1061688719349071872,@_sarabeth_ Sorry to see this. Please DM me @TellTheColonel so we can look into this.,
1061469064495853568,@Gstrick91 Sorry but this account is for KFC US. Please reach out to the account of the country you are trying to contact @KFC_UKI_Help,
1061413956273737728,@Richbut Sorry but this account is for KFC US. Please reach out to the account of the country you are trying to contact @KFC_UKI_Help,
1061000637796831232,@KariVanHorn   Sounds like a delicious meal,
1061000280064581634,@ashleylynn1021   Please send me a DM with more details so I can make this right.,
1060933668942823425,@chuckcreekmur Potatoes are cool but cutting them into inclined planes and deep frying them is tasty perfection.,
1060750841441857536,@ArtLadyHBK @SKMSFalcons @skyline_sparks Bet it'd be "KFC" if James Prescott Joule crafted the secret recipe.,
1059648019078004736,@Bradley_Corwin Sorry to hear this. Please DM me so we can look into this. https://t.co/LuEwUveedd,
1059633461353431041,@SchlitzyOnTap Sorry to see this. Please DM me @TellTheColonel so we can look into this.,
1059631196622282753,@Robert_Shaffer3 Sorry to hear this. Please DM me @TellTheColonel so we can look into this.,
1059619028833103873,@taz46746 Sorry to hear this. Please DM me @TellTheColonel so we can look into this.,
1059618014142849024,@kiser_victoria Sorry to hear this. Please DM me @TellTheColonel so we can look into this.,
1059611599621816321,@kiser_victoria Sorry to hear about this  can you please DM me with more information? I would like to look into it.,
1059601457425641472,@Chelow_1393 Sorry to hear this. Please DM me so we can look into this.,
1059595899272343553,@EmilyRubenbauer Sorry to hear this. Please DM me @TellTheColonel so we can look into this and make it right.,
1059594525650419712,@EmilyRubenbauer Sorry to hear this. Please DM me so we can look into this and make it right.,
1059563070345936896,@ike26134901 Sorry to hear this. Please DM me so we can look into this. https://t.co/LuEwUveedd,
1059558653408305157,@ike26134901 Sorry to hear this. Please DM me so we can look into this. https://t.co/LuEwUveedd,
1059322616500998144,@toddmundt Was life really complete? Or did more things happen? Would love an update.,
1059302297757511680,@DamioHuddleston Thank you for reaching out to us about this. Could you please tell me what happened? https://t.co/LuEwUveedd,
1059287679370752000,@akamara96 Sorry to hear this. Please DM at the link below so we can look into this and make it right. https://t.co/LuEwUveedd,
1059278380284051456,@ThiefCGT Sorry to see this. Please DM me so we can look into this and make it right. https://t.co/LuEwUuWCOD,
1058813674478071810,@BurlinGotGame What was the address of the restaurant? Can you please provide your email address and phone number?  https://t.co/RyatprMMDm,
1057704940855091200,@BucksHominy You can enter my Halloween costume contest by tagging @kfc and using the hashtag  https://t.co/4l5a36dRHA,
1057704885821554688,@tleeders You can enter my Halloween costume contest by tagging @kfc and using the hashtag #colonelcostumecontest .  https://t.co/qL1UrfDBb9,
1057704807534870534,@emileelizabethc You can enter my Halloween costume contest by tagging @kfc and using the hashtag  https://t.co/4cS95cpLay,
1057704521038790656,@NatalieWritesOn @Brawny @Sun_Maid @mortonsalt You can enter my Halloween costume contest by tagging @kfc and using  https://t.co/pzrCWt83Ar,
1057704288334610432,@TheRyanFouracre @CFOSofficial You can enter my Halloween costume contest by tagging @kfc and using the hashtag  https://t.co/7ShJxPATjW,
1057704129878024193,@IlirSela You can enter my Halloween costume contest by tagging @kfc and using the hashtag #colonelcostumecontest .  https://t.co/08MWztxDCX,
1057703969798144001,@fiercetiger This is inspired. You can enter my Halloween costume contest by tagging @kfc and using the hashtag  https://t.co/ru6Vrc69G7,
1057701335687143424,@Nate_Slaterx @KFC_UKI @KFC_UKI_Help The Colonel salutes you.  #empiredidnothingwrong,
1057701009890426880,@EddieAlexander @tacobell That is a bit strange. It's a refreshing beverage to enjoy on an 80* Miami afternoon.,
1057260730209189888,I m as pleased as pumpkin punch to announce the winner of our Baby Harland Naming Contest and the Harland who will  https://t.co/u6QTMddZOC,
1057117009903665152,@leland We here at KFC have spent the last 11 years debating with many lawyers and social media experts about how t  https://t.co/Eu56ME4MPL,
1057100831588278273,@aabrownell What was the address of the restaurant?,
1057086009505128448,@Maggie_2x What was the address of the restaurant? Can you please provide your email address and phone number?,
1056989747183316992,@tcotopolis What was the address of the restaurant? Can you please provide your email address and phone number? Cou  https://t.co/adJQGR297M,
1056743677199073281,@Madatachii Try the Nashville Hot,
1056733752603410432,@joedeebee1 @THESagerbomb @McDonalds What was the address of the restaurant? Can you please provide your email addr  https://t.co/JWlDLeA0cB,
1056730148916158464,@mikayla_poe Can you please provide your email address and phone number? What was the address of the restaurant? Co  https://t.co/oXKMp3ZVqm,
1056702617546645506,@3gunwes Please message me with more details. I would like to look into what happened so we can be better.,
1056698960461656064,@Gfrankygun Please message me with more details. I would like to look into what happened so we can be better.,
1056665640411545600,@gd1258 Thank you for reaching out to us about this. Could you please tell me what happened?,
