ID, Media, Link
1062761581711364097,@AWLady1 Looks good to us Ashley! We hope you enjoyed your break?!  ,
1062761209680793601,@AnaEksteen  ,
1062760965601665024,@erabin Hi Emily  KITKAT is licensed to Hershey in the US. Please get in touch with the Nestl  customer service tea  https://t.co/SJh1VZgcFf,
1062759811975168002,@soozavery Hi there  Nestl  is fully committed to ensuring that our products are not  associated with deforestation  https://t.co/WcNi3NPoK4,
1062758834945564678,@breann_turner Hi Breann  we're sorry to see this. Please contact our customer services and we ll try to find your  https://t.co/3P3RERuAFb,
1062758031157551104,@dianew1616 Hi Diane  Nestl  is fully committed to ensuring that our products are not  associated with deforestatio  https://t.co/foxYjcKtVW,
1062396856796434432,@MattCagampan We're sorry to see this Matt. Please contact our customer services and we ll try to find your missing  https://t.co/aDW7QfVIOu,
1062395330304663552,@chellemybell22 We couldn't agree more! Sharing is caring!  ,
1062394455267913728,@HaskellSos Hi there  Nestl  is fully committed to ensuring that our products are not associated with deforestation  https://t.co/mm1I0pi9HJ,
1062393889125003264,@BennyMeadows Hi Ben  Nestl  is fully committed to ensuring that our products are not associated with deforestation  https://t.co/IAzMAt04j8,
1062393649965817857,@_emorrison Hi Emily we're sorry to see this. Please contact our customer services and we ll try to find your missi  https://t.co/INkGCQ43fI,
1062020313054089219,@BailyHammett There's no wrong way in our books Baily but if we had to choose  this is how we'd do it!: https://t.co/WriSyZ6hDb,http://pbs.twimg.com/media/Dr0NyP3WoAAtLca.jpg
1061966636813557762,@mrswilliamss28 We're glad you're a fan Sheena!  ,
1061966112538181632,@NJCrosbie Hi Nicola  Nestl  is fully committed to ensuring that our products are not associated with deforestation  https://t.co/zm21L6unSF,
1061965823185694720,@NjeriNash We're glad you liked it! KITKAT cheese cake is going straight in the suggestion box!  ,
1061965089325174784,@Backrow20 Hi there  Nestl  is fully committed to ensuring that our products are not associated with deforestation  https://t.co/TVdiYeFick,
1061963736972451840,@DanBon83 Thanks for the love Danny! We're glad you're a fan of Tiramisu KITKAT!  ,
1061963518323421184,@Tman481  ,
1061963016240095239,@martahmera @NestleUKI Hi Marta  we're sorry to see this. Please contact our customer services and we ll try to fin  https://t.co/eUGf1nEsPe,
1061962656263929861,@PlusuneFrambois Hi Caroline  we're sorry to see this. Please contact our customer services and we ll try to find y  https://t.co/Q3e9Mk0A2O,
1060920564137816064,@Astromike_ There's no wrong way in our books Mike but if we had to choose  this is how we'd do it!: https://t.co/dmez1A7QCV,http://pbs.twimg.com/media/DrklmOnX4AEny-Y.jpg
1060920312316022786,@W0nd3rwall_  ,
1060920051459674114,@briannapethtel We hope we could help Brianna!  ,
1060919506929881088,@justinlilee Hi there  we're sorry to see this. Please contact our customer services and we ll try to find your mis  https://t.co/q2l3kTJFF1,
1060919048836472832,@SigsAnna Hi Anna  we're sorry to hear this. Please contact Nestl  Consumer Services directly either by email at: c  https://t.co/jllO6sROBd,
1060560734264930304,@HiSVictoriaW BFF breaks are the best! We hope you keep this lunch tradition going Victoria!  ,
1060559535604199424,@LomeliMaria__ We hope you enjoy a mini break!   ,
1060559360131297280,@Morriceosaurus Hi Trevor  we're sorry to see this. Please contact our customer services and we ll try to find your  https://t.co/fD9b5fxWbs,
1060554292434796545,@bfr_anaclara  ,
1060291119152615424,@tiana_marks We're glad you're a fan Tiana!  ,
1060279524481531908,@sameri8383  ,
1060278264051236868,@AisayKaisay Thanks for the love Bilal!  ,
1060277602424946701,@RobEisler Hi there Robert  we're sorry to see this. Please contact our customer services and we ll try to find you  https://t.co/MKYkYSzeJZ,
1060276206245986304,@BenningBass Very kind words there! Thanks for the love!  ,
