ID, Media, Link
1062819071262105600,@Titty_2Kanes We call dibs if you can't finish it  ,
1062818146434850834,@ktlynn2010 Yes! Sunday  November 18th is the last day to enjoy Endless Shrimp. Looking forward to welcoming you soon!,
1062817882172727311,@emwright78 Glad to hear you enjoyed! We hope to see you again soon.,
1062817664144470016,@Nrod0000 What a great way to celebrate. Wish them a Happy Birthday for us!,
1062816693095931915,@SamanthaWishes Our team would like to learn more about your recent experience with us. Would you please fill out o  https://t.co/u359fpmWRQ,
1062814954343096320,@illeKllaH We're troubled to hear this and our team would like to learn more. Would you please DM us?,
1062804204929064961,@billinthetruck We're really happy to hear that! We're already looking forward to your next visit.,
1062803819099250689,@S_StonyBrook Happy to hear it  thanks for sharing with us. Looks yummy!,
1062790498279137281,@maloneze We're always open to location suggestions! Fill out our form &amp; let us know where you'd like to see us: https://t.co/vTgR2jXp4w,
1062737387422445568,Oh Billie  if we only had a beat playing while reading this.   https://t.co/IISTaRdY8u,http://pbs.twimg.com/media/Dr-aBZCU0AATyq5.jpg
1062531184243154944,@_LaineyBoggs_ Nothing like bringing #CheddarBayBiscuits into the kitchen!  ,
1062530419051163648,@chrispj53 Now you're making us hungry!,
1062528664586346496,@abigaillane__ That's love right there! #CheddarBayBiscuits,
1062466883595706371,@JessicaUlrich22 Never underestimate the power of the #CheddarBayBiscuits,
1062466235789664257,@Sef_Mde You bring the appetite  we'll bring the #EndlessShrimp!,
1062464891859156998,@Funkymask Consider it a gift  from us to you!  ,
1062463564403933189,@ShaviunJ We're sorry to hear this  Shavi'un and our team would like to learn more. Would you please fill out our o  https://t.co/60UBydqbt3,
1062414783616598016,@AppDevPM Great plan! Send us some pics when your dishes arrive?,
1062413760328019969,@ohitstay The crave is real! Send us some pics when your dishes arrive?,
1062380674336940033,@_Chucky_00 3 words. Best. Gift. Ever.  ,
1062380014128320513,@Video_Two We're always open to location suggestions! Fill out our form &amp; let us know where you'd like to see us: https://t.co/vTgR2jXp4w,
1062375486293069826,Check out this funny highlight reel of @Joe_Gatto and @jamessmurray  your fave TV pranksters  during #EndlessShrimp  https://t.co/qZoLnHwugr,
1062373702887751680,@KarateEMouse  ,
1062373078276231168,@Colohawk2 Happy to hear that! Thanks for the kudos. Looking forward to having you back again!,
1062369530490556416,@DBurdee That sounds like the perfect experience! Thank you for your service. We hope to see you at one of our restaurants again soon!,
1062368641474330627,@NicoleKlassen6 We're ready when you are!  ,
1062171045510217728,@joeoremovich We're really happy to hear that! We're already looking forward to your next visit.,
1062168648171827200,@DavidButt1 Looks great! Nothing like bringing #CheddarBayBiscuits into the kitchen!  ,
1062168536162951168,@AMAZEN35 You bring the appetite  we'll bring the #EndlessShrimp!  ,
1062166507218784256,@Tabz__ We're sorry to hear this  and we'd like to learn more. Would you please fill out our online form so that we  https://t.co/Fk1OnCCeDs,
1062165138843799557,@joeoremovich We call dibs if you can't finish it  ,
1062164897188982785,@godofwine77 This sounds like a frustrating experience  and we'd like to learn more. Please send a private message  https://t.co/jK6q4zdiIH,
1062162129757839367,@ATrueVirgo86 We just love it when you come visit. Thanks for sharing!,
1062152942621544450,@Meandmy31 We love it when you come to visit!  ,
1062148934456537090,@BrettHubbard #getinthegame #readysetshrimp  ,
1062140590589177857,@heathercalvert We're troubled to hear this. Please send a DM with your email address  phone number  and the location you are visiting.,
1062107723012206592,@ATrueVirgo86 You know what gets our vote!  ,
1062094032216711170,@erikjcain We're sorry to hear this and would like to follow up with you directly. Would you please send us a private message?,
1062079927439314945,@EmpressCDub This sounds frustrating and we'd like to follow up with you directly. Would you please send us a private message?,
1062078115676069889,@ericmalcolm  ,
1062073743332294656,@2323tommy We're sorry to hear this and we'd like to follow up with you directly. Would you please send us a private message?,
1062068903994626048,@Combatkim9Kg Looks like a great job to us *air high-five*,
1062062720869122049,@mmmnuggets We love to hear this! Thanks for the shoutout. We'll ensure it's passed along.,
1062059133904527360,@Floresclan Looks like a great job to us *air high-five*,
1062054815440744448,@AnneInLansing Glad to hear it  thanks for sharing this with us!,
1062053042844041216,@copperaxel Glad to hear you enjoyed! We hope to see you again soon and thanks for the suggestion!,
1061948436533182464,In honor of your service  Red Lobster is offering a complimentary appetizer or dessert to active-duty military  res  https://t.co/NuWAMUAa0F,
1061776691914330112,@Crusheed44 We're sorry to hear this and would like to follow up with you directly. Would you please send us a private message?,
1061775135668162560,@qcsspdx We're sorry to see this and we'd like to follow up with you directly. Would you please fill out our online  https://t.co/1ZlDi4rPp8,
1061772434821525506,@llscooter78 This sounds frustrating and we'd like to reach out to you directly. Would you please fill out our onli  https://t.co/zuLVYxuJ27,
1061714933400956929,@Dai_4True2 We're sorry to hear this and would like to follow up with you directly. Would you please fill out our o  https://t.co/9nk8NZOvyy,
1061685943395147776,@Racinut1 Thank you for sharing and we always welcome feedback regarding your visit. Would you please fill out our  https://t.co/cxJrwVuzyw,
1061679983377178629,@ObsidianWorld Never underestimate the power of #EndlessShrimp  ,
1061673401893507072,@MsCrunch13 We just love it when you come visit. Thanks for sharing!,
1061672108852498433,@theresa99y Glad to hear you enjoyed! We hope to see you again soon.,
1061670865153282054,@MsTherly We just love it when you come visit. Thanks for sharing!,
1061669118376660992,@tesdLori Looks like a great job to us *air high-five*,
1061664717247340547,@AlexSoccerUT When dining in  Endless Shrimp is truly endless; you can place your initial order and then order addi  https://t.co/9TqueJzGUd,
1061661015992135683,@NOVAPRINCE757 Great plan! Send us some pics when your dishes arrive?,
