ID, Media, Link
1062069275802791936,@karleemayers We got you.,
1062012147457290240,The Live M s Scholarship is back and the Taco Bell Foundation wants to help you pursue your passion. Apply by Febru  https://t.co/JPnV162HL6,
1060955183352635393,Throughout the season  our committee has been awarding a Student Section of the Week. Who will it be next week? Tag  https://t.co/BycbNwzsTd,
1060532397681373189,Who s ready to party? With #PartyByTacoBell  you can now host the ultimate fiesta at a #TacoBell in one of 10 citie  https://t.co/KKqbIYztV7,
1060328541068320768,@icmpEchoReply @Xbox  ,
1060327614668099584,@MegPieLovesPie Hurry over.  ,
1060327041319415808,@Broadside_ @FeedTheBeat  ,
1060154903430135810,Watch @WesleyBryanGolf trick shot a Sauce Packet into a Taco Party Pack in the latest episode of #TheTacoBellShow.  https://t.co/ozUWsAW2ZA,
1060029041648971777,Congratulations to all the winners so far! Grab a $5 Double Chalupa Box from #TacoBell for your chance to win an ex  https://t.co/8Bm3T7VKtO,
1059505627733454849,Leave the cooking to us. Grab a few #TacoPartyPacks for your Friendsgiving festivities. https://t.co/o0ePn2YqJs,http://pbs.twimg.com/media/DrNbcVqU0AAEwA5.jpg
1058547460774289409,Is your student section the best in college football? Prove it and your section could be crowned the Live M s Stude  https://t.co/NZyclpanzS,
1058422694452948992,@jprinceinvest Come over.  ,
1058422499799588864,@RachelTheRoach  ,
1058025883380932610,Today's the day   score your free Doritos  Locos Tacos courtesy of Taco Hero @mookiebetts at any Taco Bell from 2-6  https://t.co/Ec3pOon1nx,
1057733003063943168,@JoeCampbell1994 Welcome to the fam.,
1057732398618574848,@Burkmyre_15  ,
1057731998188359680,@hovelhove @ColumbusState You win.,
1057731533388210179,@skunk_baby Pretty good choice if you ask us.,
1057452432756748288,In Game 1 of the World Series   @mookiebetts stole a base and stole free Doritos  Locos Tacos for all of America. S  https://t.co/XMsO0LD3d0,
1057355563007303681,@jendalton12 @Bob_Herzog  ,
1057355087826313217,@Asneakyninja1  ,
1057331305539457024,Think you can handle heat? Try Diablo Tortilla Chips at @7Eleven before they re gone for good. https://t.co/XrUs9ZVRj4,http://pbs.twimg.com/media/Dqu_qPZUcAE_vnW.jpg
1057313517135527937,@StephenDowling_  ,
1057312913701056512,@NYGingy See you soon?,
1057312223947702272,@chrisjollyhale Come over.,
1057101205825044480,Leave the cooking to us this Halloween. Get 15% off one #TacoPartyPack when you order online or through the app through 11/1.,
1055529149161451520,  https://t.co/Cql9aONGtK,
1055492168608026628,@JoshuaHedley @FeedTheBeat The best kind of rich. Enjoy.  ,
1055491927204859904,@makeoutofficial @FeedTheBeat  ,
1055491659058868225,@mxmtoon Thank you for your awesome music.  ,
