ID, Media, Link
1059279191701643266,@Astroworldvibes It's pretty great  it's been a good year so far,
1059278932707545089,@Astroworldvibes yeah,
1059278162956292096,@proto4747 Seasons change and so do the choices of tea flavors. Pear Berry right now is goooood.,
1059276001052672000,@z0e_b0land thank u  next,
1059275077374631941,@tajontweeter It's too ridiculous not to love it,
1059274956356370434,@Crazyworld_111 AF (and fresh),
1059274682132824064,@Zach32225483 We do sell nuggets,
1059272517578297344,@Jas3L check our timeline,
1059272067630227456,@katrinamarie911 sorry,
1059271620378980353,@iyahmac What a great pic!,
1059271431635324929,@goallieman99  ,
1059271259882696704,@riverajul21 yep,
1059269515027120128,@TrafficGallon It's almost as if it's based on something he did say  ,
1059269370495619072,@PugPresley they're awesome,
1059268985009647616,@bboyz3ro thanks for the update,
1059268172564570112,@TheeTaylorG hope it works out,
1059268108194664448,@mattburns407 It's pretty dope,
1059267953454137344,@xd4222 yeah  only a few hours in though,
1059267872936157184,@BobbyJo51848030 @SimplySuspended @PlayOverwatch They already know we stan D Va,
1059266142580236288,@cmoneill98 never,
1059265922781888512,@docter_jared ok,
1059265652832325633,@Mondragon_2332 as many as we can,
1059265491217383424,@usernumber150 We do like that new album he dropped with Future. Only listened a bit  but into it.,
1059265093932859392,@Cream47073275 a weird crazy robot,
1059265031777456129,@swiger_robert @elonmusk If they're already out of this world  maybe his car could pick them up and bring some back.,
1059264828253057025,@RickCanale We're a restaurant  we're always out,
1059264150088663040,@NinjaNezumi Confidence is nothing to be ashamed of,
1059264005875920901,@ItzNatical You got a Fofofo  I love it.,
1059263853345865728,@TheOgAllyAl Gotta make the buns somehow,
1059263371982319617,@genness_joshua math checks out,
1059263252390133760,@UCSMiTTy rest in grease,
1059262648842358785,@MosesTasik @bmbofroggi I already chose McCree,
1059260391467954176,@MosesTasik @bmbofroggi I'm already Genji,
1059259945814814721,@MosesTasik @bmbofroggi I wanna be Winston,
1059259866961862656,@matty8m Noticing,
1059259640637259776,@Swervesaurus We already dropped our tweet about it,
1059259470772092928,@MosesTasik @bmbofroggi Nerf Bastion,
1059259434705346561,@AmeliaKay_ Same,
1059259180702416896,@bmbofroggi I wanna be WidowMaker,
1059259128474939394,@imbatman145 no kidding,
1059258792834203648,@jrshea15 lol,
1059258754934472705,@bmbofroggi I'm already Tracer.,
1059258477921648640,@jessiland @kanyewest Exactly like that,
1059258392320098305,@King_lunch64 Frozen beef.  ,
1059258157736906755,@milkmanleeroy Heck yeah,
1059258080863707136,@tjlovera because it's even better,
1059257800482799616,@ilianamarrtinez  ,
1059257750264389633,@Jiggsyy How could we look at it every day and not eat it though,
1059257636510674945,@BChassss It's like we're twins,
1059257139888295936,@Aaronalloway2 agreed,
1059257092308123653,@VlopezDani @Wendy It's not a comeback though.,
1059256771594895360,@KW_18__  ,
1059255976782675968,@ClintHeavyD  ,
1059255599085568000,@OfficialFayBla  ,
1059255546182819840,@Hansfuneral weird flex but  ,
1059255042824376320,@JuLi3ta_at3iLuJ exactly,
1059254990076870657,@juliodepollo It's November,
1059254926805790721,@ChrisHansen2nd I'm already Tracer,
1059254616263663616,@LittleZman33 absolutely,
1059254527147327490,@Phirefox567RBLX gotta change that fact for real though,
1059254465189036032,@RingQueenLexa Respect,
1059254399778938881,@Dororollo You should be proud of who you are and all you can do,
1059254280333545472,@thomas_jereme  ,
1059254233273458688,@D3vils_Den_Game It's just having good taste,
1059254046522007553,@NucksHky pics or it didn't happen,
1059253950556397573,@mattyvomg Nah  Krusty is a clown and that's not our style.,
1059253828674113536,@lil_dom__ This flex is even,
1059253666392276993,@TNT4202 Glad you loved it,
1059253493922435074,@JINFLIRTS Played it in my headphones earlier today.,
1059253379313160192,@ethangiarraputo Preach,
1059253342734557184,@seokjinbanditos We do,
1059253279497093120,@avengergrl Frosty is the best for sure,
1059253083157471232,@Chair43017174 Yote,
1059253046214045697,@Blck_Hokage means a lot tbh,
1059253004422074368,@purplteletubby They're on every sandwich pic we've ever sent,
1059252920238174210,@ThomasArcy51 This isn't savage  it's self respect.,
1059252812142522369,@negamichaelcera It's pride in our food. Nothing sad about it.,
1059252700074987520,@DreamDaze000 Those cookies are awesome! And big!,
1059252414493179904,@MSanchesco Not that we've seen,
1059252353541529600,@HafizDoc  ,
1059251609463611392,@the_crackin such a great meal.,
1059251554165907456,@EnceladusDione Is this where we follow you and you ask us to play Fortnite?,
1059251452814786560,@CamIsAnArtDerp just keeping it real,
1059251408120233986,@zak67318048 no gonna argue with that,
1059251339660877828,@realFloortjeSSB Banjo Kazooie....oh wait ....,
1059251230483116034,@DaneYoshida The Holy Grail of cheeseburgers,
1059251157254713346,@MONONEVE SAMESIES,
1059251107225108480,@Squiddy_T_Squid much love,
1059251042842525702,@jerry_cromi0900 Most everyone at least,
1059250929063608320,@dr_slothyy same tbh,
1059250881395335168,@verylargesus nah,
1059250844812615680,@ItzSy1veon sorry for you,
1059250798406893568,@mrcrzy16 thanks friend,
1059250735366504448,@MikeBrown_SD that's old school,
1059250642198380547,@tylerdewaard03 it's real,
1059250603526889472,@wolfy117 perfect,
1059250472782049280,I'm my favorite restaurant. https://t.co/lUqJ9sPjG0,
1059216399439200261,@webbmiester78 That's not okay! Please DM us the restaurant location and your phone # so we can look into this. Thanks!,
1059211698526175239,@hockeydiva14 That's not okay! Please DM us the restaurant location and your phone # so we can look into this. Thanks!,
1059203487878316033,@DNHeist Hi there! Please DM us the restaurant location and your phone # so we can look into this. Thanks!,
1059202241847009280,@KurtNoykos This isn't the service we expect. Please DM us with  your contact info so we can look into this further.,
1059201358962810881,@spankdiggity77 This isn t the quality we d expect. Please DM us with info on this location  along with your number  https://t.co/VmVTBUHaFq,
1059197825324597249,@VictoriaJunge That's not okay! Please DM us the restaurant location and your phone # so we can look into this. Thanks!,
1059197353427648518,@SpecialistSiSi This isn't the service we expect. Please DM us with the location and your contact info so we can look into this further.,
1059188303696744449,@jbenwah78 Oh no! Please DM us the restaurant location and your phone # so we can make this right. Thanks!,
1059187762224685057,@aphroditedabest That doesn't look right! Please DM us the restaurant location and your phone # so we can make this right. Thanks!,
1059186065351892993,@webmastergirl Sorry to hear this! Can you DM us your contact info so we can have someone reach out to make it up to you?,
1059179080996790272,@PetworthPOW We certainly don t like to hear that! DM us  we would like to gather some additional details about your visit.,
1059178851417419776,@AlissaForvour_ We're disappointed to hear this! Please DM us the restaurant location and your phone number so we can make this right.,
1059167061803495424,@imperfekshun That's not okay! Please DM us the restaurant location and your phone # so we can look into this. Thanks!,
1059161058609377281,@cooljack9000 This isn't the service we expect. Please DM us with the location and your contact info so we can look into this further.,
1059160812290560000,@DavidKreye Oh no! Please DM us the restaurant location and your phone # so we can make this right. Thanks!,
1059158703805423616,@brightrobert7 We're sorry to hear that! Please DM us the restaurant location and your phone # so we can make this right. Thanks!,
1059158323742728192,@MichGetsHealthy This isn t the quality we d expect. Please DM us with info on this location  along with your numbe  https://t.co/nCD1aoSFTE,
1059157747915243523,@kendahladams32 This isn't the service we expect. Please DM us with the location and your contact info so we can look into this further.,
